Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
182.0,195.5,163.8,189.51,30117940,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-09
179.71,187.7,172.64,186.0,9452894,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-10
176.52,182.0,168.25,175.0,4805547,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-11
169.1,170.0,151.2,160.0,7908653,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-14
157.1,161.42,153.76,158.89,5037907,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-15
161.18,167.47,157.2,158.05,3079054,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-16
159.1,161.66,149.95,154.21,6380647,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-17
154.21,169.95,147.32,166.35,8192168,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-18
169.07,173.46,155.0,160.23,3907242,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-21
161.05,163.21,153.42,156.79,2399309,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-22
155.0,161.56,150.25,158.22,1775415,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-23
157.38,158.6,153.07,158.46,672982,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-24
158.25,158.45,141.5,147.89,3819358,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-28
146.12,147.4,139.64,141.27,3862477,0.0,0.0,DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,2020-12-29
