Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
100.65,104.53,96.11,99.76,3296132,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-10-26
101.25,103.92,100.53,101.33,1588881,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-10-27
99.25,99.7,96.6,97.03,2230864,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-10-28
97.99,98.19,95.13,96.41,2424735,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-10-29
94.86,95.45,90.54,90.75,3737743,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-10-30
91.78,91.79,86.66,88.33,4567163,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-02
88.53,90.77,86.5,90.14,2521616,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-03
95.76,99.99,95.26,97.62,3660549,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-04
102.26,103.95,99.65,101.95,2745838,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-05
102.0,102.58,98.88,100.35,2529577,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-06
98.76,101.0,93.05,94.89,3433915,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-09
94.71,96.25,88.59,92.6,6383800,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-10
85.15,87.13,79.76,86.83,25348588,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-11
88.08,90.3,87.08,90.01,6626820,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-12
87.89,89.16,83.89,85.82,5765853,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-13
83.41,87.42,82.38,86.36,3006134,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-16
87.35,88.91,85.53,88.09,3885825,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-17
88.0,89.95,85.74,87.3,2574568,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-18
87.15,91.95,87.13,88.89,3996408,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-19
89.68,91.24,89.03,89.09,2339651,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-20
89.78,91.64,88.3,91.04,2162790,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-23
90.32,90.84,87.3,89.18,3067365,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-24
89.39,93.92,88.95,93.51,3036860,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-25
95.0,96.8,94.18,96.42,1907728,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-27
97.01,99.56,94.1,98.92,4749938,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-11-30
98.6,98.8,94.02,95.67,3324020,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-12-01
93.77,93.9,90.13,93.5,3099746,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-12-02
95.09,98.84,94.19,97.36,2732293,0.0,0.0,DDOG,Datadog,Information Technology,Application Software,2020-12-03
