Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
59.12,59.12,57.84,58.5,3572096,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-10-26
58.23,58.4,57.14,57.35,6766901,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-10-27
56.0,56.87,55.63,55.91,5298122,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-10-28
55.26,58.7,55.22,57.96,6537069,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-10-29
57.58,58.11,56.18,56.88,5387874,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-10-30
57.9,59.06,57.15,58.8,4577038,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-02
59.58,60.15,59.04,59.61,3147783,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-03
59.19,59.75,58.05,58.16,3664208,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-04
59.02,61.0,58.83,60.19,4959605,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-05
60.2,60.7,59.42,59.62,3848936,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-06
62.06,64.65,61.5,61.66,8210173,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-09
61.92,62.82,61.34,61.76,6295910,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-10
61.87,62.04,59.83,60.31,4060922,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-11
59.98,61.14,59.42,59.98,2915084,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-12
60.38,61.9,60.38,61.63,2242861,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-13
63.0,63.43,62.1,63.42,3940411,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-16
62.72,63.55,61.81,63.16,3145091,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-17
63.5,64.3,62.14,62.15,3646679,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-18
61.9,62.48,61.25,62.05,2298406,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-19
61.9,62.75,61.73,62.55,2810696,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-20
63.02,64.0,62.98,63.59,3843200,0.0,0.0,DD,DuPont,Materials,Specialty Chemicals,2020-11-23
