Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
34.14,34.2,32.41,32.81,3933862,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-26
32.84,32.94,32.18,32.22,1887332,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-27
31.44,31.65,30.75,30.77,3516237,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-28
30.66,30.93,30.32,30.67,3575611,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-29
30.63,30.85,29.84,30.54,3573196,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-30
31.01,31.15,30.44,30.56,2233523,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-02
30.95,31.87,30.92,31.3,1697323,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-03
31.66,31.96,31.09,31.54,3389103,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-04
32.03,32.74,31.93,32.7,3025542,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-05
32.8,32.88,32.13,32.74,1523225,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-06
33.42,33.48,32.53,32.56,2996500,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-09
32.51,33.04,32.07,32.75,3462132,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-10
33.08,33.08,32.47,32.88,1984116,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-11
32.87,33.16,32.41,32.65,2430253,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-12
32.92,33.55,32.83,33.51,2995493,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-13
33.72,34.22,33.25,34.14,2854868,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-16
33.88,34.57,33.74,34.39,1992716,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-17
34.69,34.86,34.18,34.26,2557756,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-18
34.19,34.83,33.81,34.72,4586347,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-19
34.82,35.07,34.62,34.64,2877993,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-20
34.77,35.4,34.74,35.16,2948763,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-23
35.48,35.73,35.17,35.65,5829540,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-24
35.39,35.47,34.09,35.15,8790707,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-25
35.15,35.59,34.99,35.39,2779294,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-27
35.6,35.69,34.47,34.99,4779395,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-30
35.4,35.87,35.0,35.74,6874630,0.0,0.0,DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-01
