Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
237.1,237.49,231.74,234.25,1020808,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-10-26
234.2,234.59,228.0,228.51,1407160,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-10-27
225.0,227.5,222.51,223.37,1400968,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-10-28
222.07,229.81,221.73,228.02,1216617,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-10-29
227.63,228.59,222.61,225.91,1321577,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-10-30
228.49,232.24,227.5,231.7,1450131,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-11-02
235.61,241.62,234.42,239.96,1588698,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-11-03
237.4,240.0,233.2,233.3,2010187,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-11-04
237.82,247.09,237.33,246.02,2059107,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-11-05
246.58,250.36,246.11,247.64,1497899,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-11-06
260.59,265.87,248.35,248.87,2261935,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-11-09
249.49,256.9,249.49,253.97,1867547,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-11-10
253.96,254.27,245.96,249.35,1676813,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-11-11
250.85,252.2,246.87,248.01,1298704,0.0,0.0,DE,Deere & Company,Industrials,Agricultural & Farm Machinery,2020-11-12
