Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
72.46,72.75,69.75,70.84,3329319,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-10-26
71.1,71.26,68.65,69.1,2621606,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-10-27
67.88,70.25,67.38,68.88,2564129,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-10-28
69.31,69.55,67.71,68.03,2516591,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-10-29
67.71,68.59,66.13,66.81,3382971,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-10-30
68.66,69.5,67.98,69.18,2608731,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-11-02
70.24,70.57,68.72,69.46,2755552,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-11-03
71.25,75.54,70.75,74.75,4302011,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-11-04
75.14,75.6,72.72,72.91,3148670,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-11-05
72.79,72.94,69.71,70.61,2346390,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-11-06
71.9,72.34,64.82,64.95,7456313,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-11-09
66.99,71.81,66.36,70.88,7729150,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-11-10
72.22,72.89,70.43,72.85,4339097,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-11-11
72.54,73.49,70.74,71.42,2825915,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-11-12
72.09,74.14,71.59,73.27,2360937,0.0,0.0,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,2020-11-13
