Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
127.11,127.11,122.95,124.06,8717119,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-10-26
124.03,124.61,123.03,123.31,6925283,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-10-27
121.01,121.53,118.32,118.47,11833452,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-10-28
118.16,122.63,117.23,121.54,9749768,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-10-29
120.64,121.75,119.09,121.25,8192658,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-10-30
122.24,122.93,119.81,120.13,9338364,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-02
121.6,125.07,121.37,124.02,8251301,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-03
123.58,126.86,123.41,125.07,7574921,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-04
126.78,128.62,125.8,126.96,7770937,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-05
126.26,128.04,124.61,127.46,6392843,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-06
140.26,147.68,138.06,142.59,36650550,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-09
139.97,142.37,137.67,142.11,18704762,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-10
141.47,142.0,136.62,137.82,9774563,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-11
136.34,138.49,134.1,135.52,14094015,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-12
140.9,141.19,136.52,138.36,21393189,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-13
141.57,144.74,141.57,144.67,17009252,0.0,0.0,DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,2020-11-16
