Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
151.76,152.73,150.46,152.67,886045,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-10-26
152.98,153.56,150.66,150.66,746474,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-10-27
148.73,151.16,148.16,149.88,1011715,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-10-28
149.87,150.33,147.56,148.72,1128004,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-10-29
147.58,147.58,140.91,144.3,1865096,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-10-30
146.26,148.29,145.0,145.95,1190845,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-02
147.48,147.91,145.34,145.89,1414194,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-03
146.5,151.23,146.16,148.01,2456951,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-04
150.53,151.4,147.41,147.51,1892512,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-05
148.34,148.34,146.43,146.68,2224063,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-06
149.87,150.83,138.0,138.22,3236806,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-09
138.56,138.95,134.42,135.82,2889294,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-10
138.19,141.69,137.27,140.99,2604780,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-11
141.4,142.61,140.15,141.4,1276639,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-12
142.61,144.99,141.01,144.65,1513430,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-13
145.0,145.15,140.41,142.0,1897416,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-16
141.86,143.28,140.39,142.42,1142705,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-17
142.23,145.11,141.66,142.4,1824603,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-18
141.97,143.45,140.41,143.0,1246925,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-19
143.0,144.32,142.01,142.7,1495339,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-20
142.65,143.97,139.73,139.97,1244303,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-23
139.75,140.44,131.91,132.6,4020581,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-24
133.95,135.94,132.71,135.75,3074731,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-25
136.28,136.82,135.21,136.73,487064,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-27
137.0,137.07,134.27,134.75,2137002,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-11-30
135.84,137.75,134.79,135.13,2130637,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-01
134.75,135.22,132.08,132.16,1702230,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-02
133.65,135.35,133.02,133.65,1700026,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-03
133.77,135.8,132.71,135.47,1822255,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-04
135.23,137.56,134.79,135.23,1571803,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-07
135.37,136.39,133.08,133.37,1953647,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-08
133.45,133.61,129.72,129.75,2597906,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-09
130.0,131.17,128.68,129.66,2808425,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-10
129.22,130.88,128.0,130.27,1791368,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-11
129.16,131.06,128.0,128.09,1872111,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-14
128.27,129.2,126.79,128.8,2548505,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-15
129.24,130.78,128.04,129.58,1524478,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-16
130.2,134.91,130.2,133.93,2319987,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-17
134.07,134.95,132.19,134.02,5670146,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-18
131.98,134.74,131.28,134.65,2093293,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-21
134.34,138.6,134.19,138.54,2043547,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-22
139.23,139.96,136.79,136.79,1982834,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-23
136.88,138.17,136.53,137.43,460148,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-24
137.72,138.88,137.37,138.61,1151969,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-28
139.0,139.57,137.72,138.0,1019215,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-29
138.21,139.78,137.72,138.35,1043198,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-30
138.19,139.72,137.0,139.51,1026777,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2020-12-31
139.99,139.99,135.09,135.29,1880761,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-04
135.43,136.28,132.88,132.96,1623981,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-05
132.13,132.82,130.06,132.11,1845177,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-06
131.9,134.16,131.6,133.61,2204665,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-07
133.51,134.9,132.01,133.6,2362813,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-08
133.18,133.37,129.57,131.27,1939821,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-11
130.99,131.92,130.05,131.51,1762824,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-12
131.75,133.6,131.75,133.15,1291177,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-13
132.94,134.21,131.63,133.45,1465538,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-14
133.1,136.65,132.7,136.48,1869043,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-15
139.2,139.26,137.08,137.99,1670415,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-19
137.99,141.42,137.14,140.72,1835759,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-20
140.01,141.54,139.14,141.22,1498858,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-21
140.67,142.04,140.15,140.46,1123888,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-22
141.04,143.74,140.61,142.63,1671059,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-25
142.29,146.0,141.86,145.85,1181972,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-26
145.36,149.69,144.0,149.17,2882301,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-27
147.12,149.09,144.7,144.87,3047890,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-28
143.83,147.38,141.85,143.95,3449974,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-01-29
144.4,148.25,143.39,148.21,1971381,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-02-01
149.0,150.43,147.9,148.61,1249440,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-02-02
148.36,148.36,145.99,147.32,1301837,0.0,0.0,DLR,Digital Realty,Real Estate,Data Center REITs,2021-02-03
