Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
94.9,94.91,92.03,92.53,1567781,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-10-26
92.59,94.05,92.59,92.82,1265591,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-10-27
91.81,92.88,90.52,90.58,1598640,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-10-28
90.32,92.57,90.15,91.91,1525125,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-10-29
90.98,91.51,89.14,90.32,1429334,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-10-30
91.53,91.57,89.79,91.12,1259804,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-02
92.1,94.94,91.75,93.65,1894128,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-03
94.23,96.79,92.85,95.25,1610887,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-04
96.13,96.34,93.95,95.1,1453840,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-05
95.74,95.98,93.59,95.53,1538845,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-06
97.96,101.25,95.86,95.87,2405565,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-09
94.74,96.06,93.92,94.97,1780711,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-10
95.99,96.13,94.15,94.32,1495961,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-11
94.71,94.71,92.59,93.19,1869535,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-12
93.42,95.05,93.39,94.95,1449916,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-13
95.81,95.98,94.95,95.61,1707533,0.0,0.0,DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2020-11-16
