Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
114.89,114.96,112.34,113.82,590413,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-26
113.98,114.23,111.5,111.55,680181,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-27
109.23,110.79,108.5,109.29,1309851,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-28
108.42,111.08,108.0,110.09,801627,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-29
109.83,111.17,109.45,110.71,998668,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-30
112.61,115.13,112.41,114.87,660175,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-02
116.58,118.16,116.06,117.16,628440,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-03
116.24,117.26,113.09,114.07,700890,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-04
115.68,119.03,115.68,117.37,548085,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-05
117.96,118.2,113.86,116.42,872477,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-06
121.39,127.39,119.6,119.72,1026220,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-09
120.31,122.6,119.58,119.81,1696433,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-10
120.56,121.29,118.14,120.87,809080,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-11
120.4,121.09,118.98,120.0,589352,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-12
120.98,122.92,119.98,122.28,644353,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-13
124.56,125.89,122.31,125.8,956367,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-16
124.95,125.87,122.82,125.41,605042,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-17
125.97,126.86,124.36,124.36,755447,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-18
123.74,125.0,123.01,124.68,479511,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-19
124.69,125.18,122.91,123.48,559160,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-20
122.75,124.68,122.75,123.43,803441,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-23
124.27,127.04,124.12,126.34,812530,0.0,0.0,DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-24
