Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
47.94,48.14,46.82,47.15,4088375,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-10-26
46.92,47.19,46.39,46.57,4181804,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-10-27
44.94,45.7,44.33,45.18,6255545,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-10-28
44.63,46.66,44.57,46.25,4360996,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-10-29
45.86,46.19,44.73,45.49,5200896,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-10-30
46.25,48.06,45.88,47.82,3726772,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-02
48.25,49.03,47.66,48.73,3344259,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-03
47.95,48.34,46.25,46.45,4582879,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-04
46.9,49.45,46.88,48.97,4338507,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-05
49.23,49.82,48.03,48.23,3110312,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-06
51.59,54.18,51.54,52.12,9618725,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-09
52.33,53.7,52.07,53.46,6230192,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-10
53.5,53.6,52.02,52.21,4199865,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-11
51.74,52.07,50.54,51.04,3524254,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-12
50.27,52.13,50.2,51.97,3549707,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-13
53.55,53.94,52.14,53.93,4160430,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-16
53.16,54.56,52.83,54.48,4850109,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-17
54.65,56.28,54.53,55.3,5961874,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-18
54.91,55.49,53.92,55.34,3607389,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-19
55.07,55.42,54.28,54.73,2983235,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-20
55.28,56.29,55.28,55.94,4608075,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-23
57.0,58.18,56.61,57.73,4556516,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-24
57.45,57.45,56.16,56.43,4217478,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-25
55.91,56.05,55.01,55.4,2847383,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-27
54.89,55.0,52.8,53.01,8826442,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-11-30
54.43,54.43,52.9,53.53,4388626,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-01
53.32,53.56,52.69,53.2,3764060,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-02
52.99,53.89,52.8,53.6,3254548,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-03
53.81,55.1,53.8,55.05,3342103,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-04
54.93,54.94,53.02,53.21,3647975,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-07
52.9,54.67,52.8,54.55,3211076,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-08
54.94,55.75,54.35,54.66,3284587,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-09
54.66,55.11,54.04,54.43,3464066,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-10
54.29,54.45,53.57,54.0,2803599,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-11
54.6,54.76,53.03,53.06,3163974,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-14
53.85,54.15,53.15,54.13,2395884,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-15
54.03,54.11,53.24,53.83,2002980,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-16
54.2,54.33,53.58,53.83,2276831,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-17
55.11,55.75,54.24,55.66,12537255,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-18
54.05,55.2,53.73,55.08,4561099,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-21
55.01,55.27,54.44,54.67,2334218,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-22
55.02,55.77,54.73,54.75,2304792,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-23
54.92,54.97,54.34,54.79,1074880,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-24
55.27,55.77,54.18,54.29,3716890,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-28
54.5,54.82,53.85,54.33,2259036,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-29
54.35,55.66,54.3,55.47,3821605,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-30
55.47,56.1,55.11,55.5,2692845,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2020-12-31
55.82,56.12,53.65,54.04,4959252,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-04
54.14,56.17,54.0,55.8,3182047,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-05
56.95,59.21,56.55,58.43,6304562,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-06
59.0,59.77,58.1,58.51,4523121,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-07
58.37,58.86,57.75,58.21,4131505,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-08
57.7,58.95,57.25,58.86,3556728,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-11
59.32,61.21,59.0,61.04,6337545,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-12
60.75,61.31,59.66,60.03,3335751,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-13
60.21,60.5,59.42,59.65,3647726,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-14
58.62,58.82,57.13,57.31,7061254,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-15
57.76,58.2,56.33,57.55,5012217,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-19
57.87,58.63,57.23,58.57,3785972,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-20
58.51,58.77,57.31,57.56,3499072,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-21
56.99,57.78,56.87,57.5,2681926,0.0,0.0,DOW,Dow Inc.,Materials,Commodity Chemicals,2021-01-22
