Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
393.08,396.74,389.55,394.61,505326,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-10-26
396.97,398.71,392.54,397.03,425318,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-10-27
394.85,394.85,383.64,384.0,723850,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-10-28
385.65,392.75,382.19,386.72,488691,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-10-29
385.0,386.76,373.43,378.32,692914,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-10-30
377.79,380.35,370.56,376.03,607184,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-02
379.62,386.35,377.12,383.24,473142,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-03
386.72,394.47,384.0,392.52,477584,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-04
393.84,398.25,390.88,396.22,620366,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-05
394.01,402.33,390.51,399.85,482187,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-06
387.21,389.5,369.22,376.55,1354822,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-09
375.0,386.92,370.26,381.67,821336,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-10
383.76,396.14,383.04,394.67,652100,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-11
394.63,401.0,386.85,390.55,613799,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-12
390.17,393.79,387.7,389.6,324795,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-13
384.29,392.65,383.01,384.82,677517,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-16
385.46,391.31,384.41,384.47,388420,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-17
385.66,387.3,382.31,382.46,385162,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-18
384.31,387.68,383.01,385.04,396326,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-19
386.87,390.9,384.5,389.56,403489,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-20
391.0,393.99,385.18,387.21,491062,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-23
387.36,387.36,379.52,383.13,669807,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-24
384.78,385.41,380.91,383.44,371683,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-25
387.0,392.49,385.02,390.47,283129,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-27
388.58,393.08,386.1,392.57,954911,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-11-30
391.0,393.27,386.9,391.75,611816,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-01
393.0,394.31,386.77,387.83,448874,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-02
387.95,391.48,383.08,383.38,398774,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-03
383.45,385.87,382.55,382.99,394833,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-04
383.38,392.04,382.42,384.55,601465,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-07
386.08,389.21,383.82,386.69,369625,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-08
387.33,390.0,384.11,384.97,394491,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-09
382.87,386.69,379.42,386.05,433574,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-10
386.92,387.12,381.97,383.37,354252,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-11
382.0,387.58,381.51,383.23,521364,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-14
384.51,389.05,383.28,384.68,514239,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-15
386.4,387.76,381.7,382.52,519005,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-16
385.72,395.69,384.46,395.16,810501,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-17
396.99,398.11,392.5,396.71,1034599,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-18
392.68,398.47,389.4,397.18,533331,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-21
396.37,398.72,392.71,398.72,442132,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-22
398.0,404.57,396.18,403.75,571222,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-23
402.52,404.56,395.66,396.73,184260,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-24
400.11,403.62,396.54,400.18,591695,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-28
399.04,400.0,382.42,384.36,932843,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-29
385.7,389.88,383.62,384.62,496349,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-30
384.6,385.4,379.62,383.46,428130,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2020-12-31
383.0,383.3,377.02,379.5,668935,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-04
378.0,382.22,377.8,381.34,554871,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-05
378.01,385.7,377.42,384.87,635750,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-06
378.11,387.29,378.11,383.19,541356,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-07
382.28,388.94,381.19,388.83,498866,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-08
389.51,397.4,387.95,390.54,638695,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-11
391.91,394.31,384.2,385.5,566222,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-12
385.0,387.89,381.82,381.86,448161,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-13
385.43,385.43,373.64,373.8,660214,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-14
374.8,377.23,371.34,375.23,516771,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-15
377.9,379.62,372.58,372.65,516961,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-19
373.5,379.22,371.0,379.0,418058,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-20
379.0,382.74,376.0,381.12,504505,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-21
381.57,381.57,375.86,380.37,345080,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-22
381.24,384.0,376.65,378.49,430148,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-25
378.5,380.99,374.0,378.84,586596,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-26
376.87,381.0,371.04,376.91,642241,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-27
378.24,378.24,366.5,371.6,768253,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-28
371.33,376.98,369.71,370.76,510900,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-01-29
370.0,375.99,368.25,371.42,479453,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-01
374.6,382.87,373.64,377.22,463441,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-02
376.68,379.85,372.0,373.33,499822,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-03
373.77,374.46,371.0,373.0,461265,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-04
374.07,382.1,373.49,377.23,521584,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-05
375.29,380.49,374.51,380.06,447987,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-08
380.3,384.3,379.04,382.96,402057,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-09
384.02,386.48,381.09,382.06,468897,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-10
383.27,385.94,380.99,385.2,465227,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-11
385.07,388.05,382.31,385.17,359087,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-12
386.17,387.46,377.68,377.92,475599,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-16
377.1,377.1,370.67,376.49,540553,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-17
375.67,378.9,374.46,377.14,306839,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-18
378.08,378.24,371.0,371.46,508646,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-19
371.0,371.99,361.19,365.16,774247,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-22
364.0,369.03,358.36,366.74,648117,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-23
367.35,368.47,360.01,364.59,628598,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-24
340.0,344.18,331.22,339.0,2657507,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-25
339.26,348.64,337.1,346.51,1352660,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-02-26
349.56,349.6,344.52,345.06,1169935,0.0,0.0,DPZ,Domino's,Consumer Discretionary,Restaurants,2021-03-01
