Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
91.94,93.5,91.47,93.18,2744342,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-10-26
93.32,93.94,92.62,93.06,2300276,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-10-27
91.79,93.09,90.83,90.98,3684431,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-10-28
90.72,93.19,89.62,92.24,3457386,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-10-29
91.66,93.0,91.23,92.11,3335370,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-10-30
92.93,94.2,92.25,93.82,2971612,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-02
94.86,96.56,94.43,95.52,3541459,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-03
95.07,96.73,93.55,93.55,2916279,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-04
94.82,96.96,93.97,94.22,2561545,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-05
94.5,95.53,93.34,93.44,2414439,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-06
96.81,98.88,95.11,95.4,4227209,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-09
95.72,97.27,94.3,97.14,3182870,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-10
97.68,98.66,97.04,97.31,2737921,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-11
95.5,95.91,93.6,94.25,3160982,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-12
94.71,95.36,94.6,94.98,1908604,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-13
96.05,96.05,94.47,95.01,2898768,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-16
94.3,95.0,92.83,92.92,3213183,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-17
93.59,93.96,91.46,91.53,2981160,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-18
91.34,91.76,90.01,91.7,3409218,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-19
91.7,92.68,91.38,92.58,4307891,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-20
92.52,93.43,92.01,93.33,3837248,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-23
94.47,96.33,93.9,96.26,4407245,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-24
95.95,96.24,94.84,96.15,1986842,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-25
96.15,96.15,94.1,94.6,1293833,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-27
94.13,94.25,91.94,92.66,5039695,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-11-30
93.56,94.64,93.17,93.26,2982413,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-01
93.1,93.91,91.91,93.87,2215827,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-02
93.48,93.7,92.1,92.35,2314589,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-03
92.2,92.67,90.14,91.15,3200498,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-04
90.7,92.31,90.55,91.87,2063545,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-07
91.33,92.02,90.4,91.51,2446091,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-08
91.49,91.74,90.29,91.39,3027637,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-09
91.69,92.07,90.83,91.76,3658091,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-10
91.25,91.89,90.9,91.54,3255032,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-11
92.38,94.08,91.1,91.13,3720473,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-14
91.26,92.84,90.9,92.11,4084432,0.0,0.0,DUK,Duke Energy,Utilities,Electric Utilities,2020-12-15
