Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
90.2,90.82,89.22,89.71,670766,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-10-26
90.1,90.3,89.03,89.15,507045,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-10-27
87.93,88.67,86.14,86.27,894889,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-10-28
85.97,86.45,84.14,85.77,1104157,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-10-29
85.8,88.4,85.0,86.25,1093697,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-10-30
87.46,90.16,87.14,89.07,1063099,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-02
90.04,93.83,90.04,92.95,1048880,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-03
95.65,97.9,95.27,96.04,1033448,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-04
98.53,99.86,97.5,98.15,930233,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-05
97.99,99.45,97.5,98.62,522698,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-06
101.22,104.0,100.61,102.33,1249914,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-09
102.0,108.1,101.5,107.17,1030623,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-10
107.25,108.06,106.16,106.32,966827,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-11
105.71,109.9,105.53,107.18,1067306,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-12
107.48,110.98,107.26,110.55,783535,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-13
111.63,113.39,110.4,113.14,909927,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-16
111.84,114.13,110.43,113.39,879931,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-17
113.67,113.96,108.27,108.32,1168883,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-18
108.39,108.94,106.0,107.63,1199657,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-19
107.88,110.49,107.88,109.85,732733,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-20
109.79,110.49,108.92,110.02,982682,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-23
110.57,110.65,108.7,109.67,870880,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-24
109.61,110.32,108.71,109.6,764988,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-25
110.04,111.47,109.76,109.88,263464,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-27
109.58,110.51,109.5,109.85,1193828,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-11-30
110.7,111.06,108.49,108.59,587600,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-01
108.81,109.65,108.07,108.36,779201,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-02
108.05,108.05,104.51,105.42,1411389,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-03
106.12,109.3,106.0,109.3,610330,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-04
109.34,109.55,107.67,108.46,777774,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-07
108.05,110.67,108.05,110.38,523301,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-08
110.72,111.94,110.34,111.3,574843,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-09
110.51,112.37,110.39,111.91,511823,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-10
111.68,112.08,108.18,108.32,652064,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-11
109.41,111.56,108.98,109.19,875846,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-14
109.81,113.04,109.67,112.39,597011,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-15
112.94,114.15,111.91,113.04,643999,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-16
113.2,115.74,113.2,115.73,628396,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-17
115.54,115.73,114.53,115.36,2589178,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-18
113.5,115.77,112.69,115.75,765142,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-21
116.0,116.4,114.95,115.18,603774,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-22
115.86,115.94,114.85,115.0,527724,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-23
114.99,115.68,114.62,115.13,161890,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-24
116.0,116.18,115.03,115.45,402064,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-28
116.03,116.51,115.46,116.0,554686,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-29
116.3,117.65,115.4,115.5,390916,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-30
115.07,117.59,115.0,117.4,328146,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2020-12-31
117.56,118.68,114.35,116.5,791571,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-04
114.63,117.39,114.0,116.55,673319,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-05
116.09,121.15,116.0,120.55,962586,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-06
121.29,122.87,120.48,122.21,863210,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-07
122.37,124.66,122.08,123.89,556782,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-08
123.28,124.54,121.89,123.12,515064,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-11
123.5,125.28,123.03,123.8,675373,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-12
123.82,124.48,120.73,120.76,782015,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-13
121.41,121.41,119.49,119.64,556107,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-14
119.19,119.84,117.65,118.75,723437,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-15
119.69,119.91,118.03,118.1,522015,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-19
118.1,120.7,117.59,120.32,576913,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-20
120.25,120.47,119.05,119.32,379235,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-21
118.9,120.1,118.85,119.59,349482,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-22
119.1,119.95,117.92,118.56,437065,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-25
118.7,119.95,117.86,119.26,421940,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-26
117.76,118.96,116.9,117.85,625187,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-27
119.19,122.39,117.85,117.89,612535,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-28
117.5,118.55,116.01,117.37,918762,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-01-29
118.02,120.0,116.92,118.81,803382,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-01
114.0,116.17,111.64,111.64,1493978,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-02
111.28,111.69,108.04,110.49,1569000,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-03
110.53,110.8,108.59,109.54,760261,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-04
110.31,110.58,108.38,109.18,799904,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-05
109.47,110.59,109.02,110.2,1306494,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-08
110.62,112.3,110.29,111.0,952327,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-09
111.9,113.45,110.77,113.39,779073,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-10
113.93,114.31,112.33,113.33,883722,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-11
112.5,114.58,104.78,104.99,1591777,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-12
105.43,110.69,103.28,104.18,2309566,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-16
103.09,104.72,101.83,103.11,1147356,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-17
102.62,102.93,99.65,100.12,1215935,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-18
99.82,102.34,99.5,102.07,1085860,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-19
100.99,101.69,99.39,99.98,747403,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-22
99.69,101.58,98.55,101.28,756492,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-23
101.18,103.53,101.18,102.89,842450,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-24
103.17,103.87,101.23,102.14,545742,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-25
101.91,103.76,101.75,102.13,856421,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-02-26
103.22,104.48,102.74,102.85,709729,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-01
103.49,104.01,102.5,103.52,723243,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-02
102.99,103.36,101.55,102.78,542215,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-03
102.29,104.64,101.85,103.82,1069407,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-04
104.72,106.04,103.78,105.54,756502,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-05
105.5,108.2,105.4,107.61,598105,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-08
108.13,110.31,107.4,107.63,659249,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-09
108.87,109.09,107.11,107.11,680112,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-10
107.15,108.35,107.09,107.68,475446,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-11
108.65,108.84,107.78,108.44,686766,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-12
107.88,109.24,107.68,108.93,416983,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-15
109.0,109.3,107.58,107.64,565360,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-16
107.42,108.53,106.66,107.73,487308,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-17
107.94,109.95,107.56,109.19,524273,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-18
108.75,110.69,108.7,109.83,1273712,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-19
109.51,110.34,108.02,110.04,540595,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-22
110.05,110.32,106.88,107.02,634635,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-23
107.2,109.83,106.95,109.03,493770,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-24
108.95,111.41,107.55,110.86,631805,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-25
108.33,109.51,107.6,108.77,874959,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-26
108.8,110.64,108.69,110.05,826931,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-29
110.12,110.36,108.49,109.48,479504,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-30
109.29,109.96,107.6,107.77,668070,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-03-31
107.51,107.66,105.08,105.44,1077174,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-01
106.0,107.38,105.47,106.8,1037091,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-05
107.16,107.97,106.53,106.95,649284,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-06
107.05,108.09,106.46,106.69,553867,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-07
106.5,108.2,106.29,106.86,866028,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-08
107.24,109.08,106.9,109.0,478531,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-09
109.0,110.92,108.78,109.88,585666,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-12
108.89,109.16,106.68,107.46,1040095,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-13
108.34,109.16,107.37,108.23,662311,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-14
108.94,110.54,108.58,109.85,770990,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-15
110.44,113.5,110.1,113.11,1782634,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-16
113.48,113.69,110.19,110.78,831375,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-19
110.36,112.55,110.17,112.2,676772,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-20
112.9,114.37,112.67,113.54,529421,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-21
113.55,113.94,112.08,112.45,620566,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-22
112.38,113.93,110.95,113.6,608957,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-23
113.79,114.77,113.14,113.35,513470,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-26
112.51,113.74,112.12,112.36,492269,0.0,0.0,DVA,DaVita,Health Care,Health Care Services,2021-04-27
