Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
9.12,9.18,8.68,8.81,9256268,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-10-26
8.72,8.85,8.6,8.69,8583162,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-10-27
8.39,8.45,8.01,8.1,11106294,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-10-28
7.89,8.46,7.73,8.45,12922948,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-10-29
8.44,8.93,8.34,8.93,15774950,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-10-30
9.07,9.58,8.67,9.43,9577506,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-02
9.69,9.9,9.44,9.64,9426869,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-03
9.71,10.02,9.3,9.81,16277343,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-04
9.75,10.34,9.66,10.05,14781828,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-05
9.95,10.28,9.73,9.77,13456277,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-06
10.83,11.88,10.83,11.33,18074756,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-09
11.55,11.78,11.2,11.76,12256712,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-10
11.94,11.95,11.57,11.66,9581109,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-11
11.4,11.82,11.06,11.22,7214048,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-12
11.34,11.83,11.29,11.78,6338794,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-13
12.53,12.58,12.21,12.53,9272168,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-16
12.4,13.11,12.27,13.11,10658930,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-17
13.22,13.64,12.75,12.76,13103749,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-18
12.76,13.58,12.66,13.56,13877186,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-19
13.5,13.57,13.04,13.16,9268877,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-20
13.49,14.53,13.43,14.48,13198478,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-23
15.04,15.44,14.8,15.3,15509444,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-24
15.08,15.32,14.85,15.12,8903912,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-25
14.98,15.23,14.66,14.78,4805764,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-27
14.57,14.62,13.96,13.99,11462860,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-11-30
14.42,14.59,13.9,14.0,7056095,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-12-01
13.9,15.28,13.78,14.8,11300272,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-12-02
14.91,15.65,14.58,15.31,10371013,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-12-03
15.75,16.74,15.66,16.72,13922642,0.0,0.0,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2020-12-04
