Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
53.49,53.94,52.28,53.34,6597303,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-10-26
53.39,53.84,53.0,53.55,4581549,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-10-27
52.87,54.1,52.38,53.25,9717182,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-10-28
49.3,50.8,48.03,49.28,22526778,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-10-29
48.77,49.14,46.99,47.63,12566223,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-10-30
48.19,49.34,47.21,47.87,10765800,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-02
48.0,49.38,47.61,48.92,8909545,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-03
49.47,49.64,47.56,47.82,16562125,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-04
48.71,49.95,48.47,49.41,10325154,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-05
49.7,51.17,49.05,50.69,10244436,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-06
48.0,49.25,46.85,48.32,19388023,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-09
47.55,47.64,45.36,46.54,15521805,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-10
47.17,48.1,46.81,47.71,13142276,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-11
48.13,48.17,46.4,46.59,10267543,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-12
46.9,48.72,46.72,48.67,12084765,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-13
48.45,49.17,48.01,48.55,14933349,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-16
48.37,48.9,47.96,48.33,9892613,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-17
48.07,49.46,48.07,48.53,12734060,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-18
48.65,50.05,48.56,49.78,12012193,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-19
49.8,49.88,48.96,48.99,10521533,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-20
49.18,50.34,49.1,49.9,9421401,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-23
49.92,51.29,49.82,50.53,7223267,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-24
50.75,51.03,50.05,50.45,4438875,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-25
50.94,51.93,50.9,51.34,3604040,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-27
51.03,51.23,49.36,50.43,10743230,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-11-30
50.5,51.46,50.18,50.52,7161528,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-12-01
50.52,51.54,50.36,51.35,9281900,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-12-02
51.25,51.3,50.11,50.29,5354235,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-12-03
50.03,51.19,49.64,50.97,4791038,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-12-04
50.91,51.01,49.91,50.03,5132246,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-12-07
49.91,50.23,49.28,49.89,7091510,0.0,0.0,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,2020-12-08
