Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
202.45,203.35,197.82,198.17,1161300,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-10-26
200.0,204.49,189.04,189.77,2403580,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-10-27
185.92,189.19,185.0,185.35,1217438,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-10-28
185.73,188.4,184.02,186.94,1222172,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-10-29
185.64,188.31,181.25,183.59,1171240,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-10-30
186.59,192.58,186.59,188.85,982942,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-02
191.06,194.27,189.66,192.61,979595,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-03
192.98,194.87,190.13,191.89,858807,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-04
195.25,198.02,194.44,196.42,934447,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-05
198.49,200.82,196.71,199.39,946106,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-06
210.0,220.21,208.85,216.9,2747502,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-09
219.47,220.61,210.83,212.23,1865431,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-10
213.4,213.88,207.72,209.83,1094330,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-11
209.88,209.88,201.11,203.48,1200881,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-12
205.23,208.71,204.96,208.43,1100192,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-13
210.27,215.02,209.56,213.38,870080,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-16
211.34,212.99,209.9,212.27,889767,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-17
213.13,213.39,209.44,209.44,846081,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-18
208.88,212.59,207.6,210.93,823030,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-19
210.4,212.34,209.75,210.66,884239,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-20
212.78,215.5,212.0,213.92,746642,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-23
216.39,221.72,216.39,219.31,1002232,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-24
218.4,220.48,216.91,218.03,781059,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-25
219.45,225.38,218.83,224.81,792727,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-27
222.9,224.7,219.46,222.15,2082049,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-11-30
224.97,226.32,221.58,224.02,1017216,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-01
223.39,224.54,218.95,219.14,913466,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-02
219.17,223.81,219.01,219.75,1014045,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-03
221.2,225.86,221.2,225.61,796267,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-04
224.87,225.03,221.76,222.74,815224,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-07
222.6,224.6,221.95,224.41,727742,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-08
225.23,226.56,222.96,225.9,750405,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-09
225.23,227.29,222.66,223.08,943620,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-10
221.93,224.5,220.28,221.25,749112,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-11
222.24,222.79,216.62,217.0,771981,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-14
219.45,224.09,218.08,222.95,961037,0.0,0.0,ECL,Ecolab,Materials,Specialty Chemicals,2020-12-15
