Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
59.98,60.11,56.18,58.19,3657282,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-10-26
57.99,58.55,57.32,57.81,2088868,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-10-27
58.0,59.09,56.54,56.56,2423729,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-10-28
56.12,56.78,55.06,56.07,2457813,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-10-29
55.85,56.55,54.83,56.04,1670709,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-10-30
56.4,57.59,56.0,57.55,1297321,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-02
58.14,59.25,58.09,58.41,1452743,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-03
57.93,59.42,57.39,57.43,1418608,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-04
58.11,59.71,57.99,59.38,1626854,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-05
59.21,59.7,58.01,58.32,1489708,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-06
61.93,63.23,58.92,60.76,2670877,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-09
61.14,63.23,60.86,62.72,3119104,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-10
63.12,63.7,62.74,62.9,1317182,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-11
62.48,63.37,61.77,62.79,1995519,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-12
63.0,64.75,62.9,64.06,1468555,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-13
64.99,65.4,64.02,65.17,1884131,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-16
64.77,66.54,64.64,65.6,1486801,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-17
66.01,66.68,64.46,64.54,1641986,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-18
64.15,64.5,63.09,63.62,2696244,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-19
63.71,64.16,63.0,63.38,3042521,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-20
63.56,64.38,63.15,64.15,2720046,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-23
64.99,65.74,64.61,65.45,1752474,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-24
64.92,65.05,63.14,63.71,2885095,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-25
63.67,63.89,62.51,62.79,968285,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-27
62.38,62.43,60.89,61.36,2704559,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-11-30
61.88,63.1,61.84,62.09,1528041,0.0,0.0,EIX,Edison International,Utilities,Electric Utilities,2020-12-01
