Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
36.77,36.77,34.66,34.93,5096643,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-10-26
34.74,35.18,34.26,34.58,7139500,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-10-27
33.65,33.69,31.97,32.51,8816403,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-10-28
31.8,34.04,31.22,33.97,6159794,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-10-29
33.64,34.26,33.02,34.24,4747874,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-10-30
34.89,35.77,33.4,35.15,4928659,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-02
35.92,35.97,34.53,35.02,3718945,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-03
35.13,36.89,34.22,36.04,6151871,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-04
35.31,36.47,35.31,35.6,5620878,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-05
36.3,37.13,34.04,34.58,8892689,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-06
39.45,41.78,39.1,40.31,11066632,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-09
41.0,42.25,39.57,42.19,6662991,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-10
42.75,43.04,41.27,41.91,7183921,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-11
40.81,41.89,40.12,40.49,4787339,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-12
40.98,42.93,40.96,42.67,4891063,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-13
44.29,45.48,43.65,45.35,7120562,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-16
44.85,45.8,43.95,45.67,5446427,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-17
46.2,47.41,44.85,44.93,5166093,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-18
44.45,45.61,44.11,45.46,4240454,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-19
45.1,46.02,44.57,45.39,3606368,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-20
46.13,50.46,46.05,50.38,6398870,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-23
52.14,54.7,51.83,54.42,10456622,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-24
53.88,54.78,53.0,53.0,7651354,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-25
52.09,53.38,51.13,51.43,2187033,0.0,0.0,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2020-11-27
