Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
336.37,340.0,323.01,328.44,177671,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-10-26
328.68,332.0,325.5,326.78,165710,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-10-27
320.95,322.0,314.45,315.67,167990,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-10-28
318.98,322.86,315.21,317.02,215285,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-10-29
315.25,319.24,306.3,308.95,226682,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-10-30
312.18,321.42,311.79,313.7,262899,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-02
317.53,318.28,306.29,314.12,260659,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-03
325.43,337.89,321.86,328.86,601546,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-04
339.28,356.98,339.28,346.63,401555,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-05
348.56,348.56,341.99,342.23,278085,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-06
345.33,347.95,318.02,318.54,441044,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-09
315.34,316.98,305.83,312.6,364869,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-10
318.37,327.85,318.37,326.97,176108,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-11
331.96,335.8,328.94,332.73,372500,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-12
333.15,336.0,330.55,333.38,212410,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-13
329.93,331.44,322.05,322.82,150517,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-16
322.01,331.87,322.01,331.62,302631,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-17
330.88,331.65,323.38,327.93,252989,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-18
327.87,335.76,324.87,334.58,186316,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-19
337.5,344.25,332.93,341.01,276857,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-20
341.98,345.65,334.26,335.69,165149,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-23
333.0,335.62,312.99,315.46,521492,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-24
318.0,325.04,311.82,318.65,445052,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-25
321.71,328.27,320.8,325.95,101081,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-27
326.12,328.46,316.91,322.33,513503,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-11-30
324.1,330.25,319.09,328.82,333352,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-01
327.08,327.08,319.57,323.59,274557,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-02
323.5,326.28,319.3,319.69,186846,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-03
320.0,333.05,320.0,324.93,213306,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-04
323.88,325.84,319.35,323.08,186272,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-07
324.37,330.65,321.46,329.46,224400,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-08
328.19,328.79,315.94,320.58,318087,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-09
316.5,324.25,314.08,322.76,277694,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-10
322.0,324.49,318.34,321.2,229551,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-11
322.39,333.99,322.39,325.22,292254,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-14
328.18,329.56,323.28,325.93,182394,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-15
326.42,334.64,324.5,334.04,400599,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-16
338.51,359.39,337.08,344.2,811731,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-17
348.22,349.1,338.52,346.53,682967,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-18
341.47,342.9,334.3,340.63,368128,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-21
341.49,356.5,341.49,355.46,587244,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-22
355.0,358.94,351.7,352.86,239464,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-23
352.27,358.87,352.27,356.34,139250,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-24
359.18,359.18,352.66,353.63,173695,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-28
355.0,356.21,347.5,351.75,168081,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-29
354.13,359.22,350.98,358.48,241622,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-30
359.0,360.89,355.98,358.35,257181,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2020-12-31
359.01,360.24,340.59,348.06,326434,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-04
346.17,351.51,342.56,345.7,237190,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-05
341.06,346.02,328.9,329.66,556199,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-06
334.74,341.49,334.56,338.48,476558,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-07
341.17,347.17,340.32,342.37,344272,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-08
338.91,346.1,337.02,342.84,204736,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-11
343.36,344.87,330.76,331.73,420128,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-12
333.37,337.27,332.62,333.54,535531,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-13
335.0,342.58,334.28,340.65,334755,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-14
340.54,350.66,340.54,348.01,323120,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-15
354.28,356.0,345.02,351.41,335621,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-19
353.14,365.15,353.02,363.9,313962,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-20
365.0,369.51,361.02,363.26,309158,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-21
361.78,365.5,359.46,359.69,189773,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-22
365.15,365.15,344.03,354.15,251606,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-25
354.08,355.0,348.18,350.75,231399,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-26
346.0,349.99,333.68,339.62,309500,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-27
341.7,351.83,340.13,348.97,166521,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-28
346.76,348.5,338.6,344.43,240472,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-01-29
347.0,357.05,347.0,356.7,226851,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-01
360.0,371.63,359.91,370.93,281938,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-02
370.0,374.13,368.55,372.78,338101,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-03
373.0,375.38,364.66,373.09,228788,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-04
375.84,379.62,373.39,377.43,250497,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-05
379.0,391.23,377.26,390.33,247692,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-08
389.0,397.34,385.25,394.46,454945,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-09
398.26,398.26,386.08,387.33,175436,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-10
390.04,396.76,390.04,392.89,130279,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-11
393.0,400.98,389.08,400.27,168721,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-12
401.35,402.62,393.87,394.48,186718,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-16
392.51,393.92,387.94,391.7,311511,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-17
387.37,394.15,372.7,378.46,374880,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-18
378.55,384.99,375.46,376.0,209088,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-19
372.08,374.92,358.84,364.89,654517,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-22
356.53,371.85,350.0,371.63,281275,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-23
367.44,369.92,359.17,369.26,213078,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-24
369.02,371.78,360.28,364.18,257693,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-25
367.16,378.27,361.8,373.61,318308,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-02-26
378.0,385.11,377.84,384.65,181958,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-03-01
384.13,390.4,382.8,387.29,265663,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-03-02
387.27,387.27,372.52,378.79,301189,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-03-03
376.94,377.18,353.32,359.5,551148,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-03-04
364.22,367.78,346.91,358.55,419471,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-03-05
355.46,355.46,338.69,339.12,559004,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-03-08
350.28,356.8,343.54,351.45,411493,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-03-09
355.05,355.73,347.87,353.24,280321,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-03-10
361.8,367.3,359.02,366.02,189683,0.0,0.0,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-03-11
