Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
16.08,16.08,15.46,15.63,3426604,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-10-26
15.6,16.32,15.18,16.16,5499637,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-10-27
15.36,16.53,15.36,15.78,22481604,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-10-28
15.76,16.02,15.18,15.57,13465893,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-10-29
15.51,15.62,14.75,15.14,6593641,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-10-30
15.13,15.75,14.62,15.47,5687332,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-02
15.56,15.89,14.65,14.86,5888676,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-03
14.69,14.83,13.79,14.2,6723628,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-04
14.3,14.95,14.09,14.26,4896055,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-05
14.31,14.51,13.77,14.15,5970651,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-06
14.7,14.8,13.02,13.49,11401795,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-09
13.7,14.12,13.24,14.11,6134343,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-10
14.3,14.73,14.17,14.69,4488803,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-11
14.51,14.97,14.28,14.52,4453266,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-12
14.73,15.33,14.53,15.23,4202675,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-13
14.97,15.0,13.96,14.65,6037469,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-16
14.47,14.67,14.22,14.43,3897423,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-17
14.61,14.89,14.3,14.4,5160654,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-18
14.06,15.0,13.71,14.99,6097355,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-19
15.03,15.58,14.4,14.72,5919228,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-20
14.94,15.52,14.74,15.41,5056790,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-23
15.75,16.0,15.14,15.97,5698553,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-24
15.93,15.93,15.12,15.4,3954549,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-25
15.2,15.64,15.09,15.25,1440625,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-27
15.55,15.87,14.84,14.88,5386527,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-11-30
15.07,15.38,14.33,14.48,4287564,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-01
14.53,15.11,14.18,14.49,4166606,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-02
14.4,14.42,13.45,13.49,7748611,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-03
13.72,14.34,13.64,14.24,5496816,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-04
13.89,14.33,13.5,13.88,6353148,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-07
13.59,13.93,13.23,13.39,8886882,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-08
13.59,14.2,13.33,13.95,6933558,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-09
14.02,14.82,13.86,14.66,8082214,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-10
14.71,14.71,13.41,13.95,7451497,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-11
14.18,14.46,13.84,13.88,4045768,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-14
14.23,14.4,13.85,14.27,4962188,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-15
14.27,14.28,13.54,13.61,5875621,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-16
13.72,14.01,13.27,13.51,6648968,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-17
13.58,13.8,13.26,13.52,10654732,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-18
13.22,13.58,12.92,13.45,5788876,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-21
13.6,13.74,13.21,13.28,3748869,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-22
13.18,14.24,13.18,14.19,5859227,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-23
14.23,14.27,13.85,13.91,1469497,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-24
13.52,13.59,12.57,12.61,10376796,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-28
12.7,12.81,12.27,12.46,4882659,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-29
12.46,13.09,12.35,12.98,3935015,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-30
12.92,12.96,12.53,12.71,4579514,0.0,0.0,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,2020-12-31
