Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
230.23,231.06,227.25,229.01,35984,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-10-26
230.06,238.17,230.06,234.33,106520,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-10-27
231.42,239.04,229.57,234.76,373164,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-10-28
232.71,242.6,232.71,236.18,133546,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-10-29
235.31,241.07,226.3,232.87,87970,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-10-30
234.96,238.5,233.05,235.93,52858,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-02
238.58,242.02,238.31,240.38,50894,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-03
241.62,241.62,235.76,238.91,38584,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-04
240.8,240.8,236.75,238.8,59072,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-05
236.17,237.8,234.21,236.48,51123,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-06
241.83,242.46,230.94,231.76,71178,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-09
233.34,238.05,231.76,238.05,59157,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-10
239.74,247.34,239.74,247.34,79359,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-11
247.98,247.98,235.26,237.86,56334,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-12
238.06,242.12,232.98,236.88,96831,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-13
236.99,245.27,236.99,245.26,51786,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-16
243.77,245.3,240.92,243.72,56988,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-17
243.02,244.68,240.48,242.72,38036,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-18
243.7,245.22,240.28,241.37,53149,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-19
242.34,242.92,239.88,241.04,50066,0.0,0.0,ERIE,Erie Indemnity,Financials,Insurance Brokers,2020-11-20
