Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
202.18,203.02,197.09,199.02,429093,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-10-26
199.02,200.96,195.28,195.34,338182,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-10-27
192.0,192.92,186.3,186.32,796346,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-10-28
189.34,200.66,188.85,197.58,1024653,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-10-29
196.91,205.85,196.91,204.59,1199537,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-10-30
205.97,217.31,204.18,217.0,939619,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-02
219.22,225.72,219.01,224.03,684663,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-03
224.86,227.47,219.43,225.5,706288,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-04
226.88,228.59,223.04,226.13,569662,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-05
226.49,229.8,223.87,227.16,553969,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-06
246.94,276.14,246.94,254.45,1287595,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-09
254.51,265.14,254.32,258.94,941626,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-10
259.57,259.57,246.08,246.75,718833,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-11
251.4,251.4,243.47,247.18,777976,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-12
249.02,256.08,247.53,254.91,437806,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-13
263.66,264.9,256.52,262.95,422159,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-16
260.03,264.25,258.21,260.0,538892,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-17
260.3,261.32,253.22,254.2,565948,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-18
252.46,256.01,248.3,254.15,724060,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-19
254.79,256.45,251.94,254.1,449549,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-20
255.91,257.32,251.9,252.47,490560,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-23
256.83,259.21,254.97,257.53,520931,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-24
257.53,257.69,252.98,254.4,335086,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-25
254.14,255.2,248.19,250.01,160972,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-27
248.94,249.98,243.06,245.88,1308536,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-11-30
250.33,251.11,246.2,246.54,454761,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-01
246.21,251.86,245.6,248.7,411832,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-02
250.3,252.89,248.07,248.85,620587,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-03
251.24,253.94,250.88,252.73,617340,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-04
250.81,253.54,250.5,253.0,508195,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-07
251.52,255.64,251.28,252.49,396678,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-08
252.98,254.74,246.72,250.18,400895,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-09
248.86,252.52,244.84,245.41,346272,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-10
243.35,245.79,241.38,243.94,454834,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-11
246.5,248.42,240.0,240.26,454722,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-14
239.44,242.49,237.82,242.47,670581,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-15
243.0,246.0,240.09,240.53,416260,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-16
242.7,243.65,237.86,241.85,485578,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-17
242.2,242.43,232.95,234.37,1096190,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-18
231.26,234.67,230.0,233.83,504873,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-21
234.25,236.19,232.98,234.73,385309,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-22
236.51,237.89,231.24,231.24,362471,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-23
232.09,234.51,231.04,234.25,106669,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-24
234.99,238.65,233.78,238.32,217711,0.0,0.0,ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,2020-12-28
