Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
91.36,91.97,90.45,91.73,1687597,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-10-26
92.23,92.76,91.05,91.88,1791901,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-10-27
90.86,91.68,88.68,88.91,1360350,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-10-28
88.35,89.6,87.13,88.46,1629494,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-10-29
88.2,88.85,86.41,87.27,1444607,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-10-30
88.08,90.67,87.68,90.59,1365063,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-02
91.32,92.66,90.9,91.98,1399298,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-03
92.9,93.05,90.99,91.29,1402731,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-04
91.76,93.57,91.76,92.2,1200767,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-05
92.38,94.09,91.63,92.78,1176069,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-06
95.0,96.66,93.41,93.53,1783487,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-09
94.19,94.44,92.8,93.66,1749510,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-10
94.08,95.01,93.4,94.42,1150537,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-11
94.16,94.44,91.71,92.31,1052317,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-12
92.86,93.96,92.47,93.29,864096,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-13
94.21,94.54,92.45,94.43,1018286,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-16
94.02,94.24,91.39,91.75,972474,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-17
92.35,92.36,89.59,89.75,1069061,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-18
89.51,89.83,87.35,88.19,1783558,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-19
88.17,89.41,87.82,88.63,1441623,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-20
88.84,89.11,87.48,87.79,947567,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-23
88.56,88.76,86.91,87.47,1385238,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-24
87.75,88.49,86.4,88.43,1636298,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-25
88.5,88.68,86.94,87.93,633536,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-27
87.86,88.4,86.54,87.51,2345595,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-11-30
87.92,89.16,87.55,88.22,1788326,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-01
87.95,88.33,87.1,88.15,1424349,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-02
87.86,88.1,86.46,86.81,1007802,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-03
86.51,87.13,84.7,85.54,1756981,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-04
85.19,87.13,85.01,86.74,1486662,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-07
86.1,86.87,85.56,86.38,867335,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-08
86.38,86.56,85.32,86.02,959538,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-09
86.19,86.84,85.1,85.69,1444417,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-10
85.51,86.12,85.03,85.79,1236511,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-11
86.48,87.61,85.39,85.46,1303564,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-14
85.69,87.09,85.2,86.63,1354609,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-15
87.03,87.79,85.3,85.45,1882401,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-16
86.01,86.63,85.48,85.78,1842285,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-17
85.35,86.46,84.1,84.71,3717359,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-18
83.37,83.88,82.17,83.71,1935784,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-21
83.92,84.21,83.18,83.57,1933105,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-22
84.17,84.4,82.9,82.92,1619036,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-23
83.19,84.15,82.82,84.15,697688,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-24
84.66,85.1,84.29,85.04,1273874,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-28
85.52,85.93,84.94,85.19,1238882,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-29
84.8,85.83,84.8,85.33,853225,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-30
85.48,86.61,84.98,86.51,1135365,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2020-12-31
86.66,86.93,83.95,84.51,1770476,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-04
84.31,85.28,84.23,85.12,2225316,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-05
85.36,89.76,85.21,89.13,2937407,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-06
89.08,89.46,88.1,88.55,1774059,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-07
88.53,90.46,88.42,90.33,1629030,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-08
89.66,90.33,88.75,89.21,1418153,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-11
89.07,90.0,88.4,89.49,1209548,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-12
89.7,92.21,89.22,90.16,2101274,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-13
90.13,90.69,87.1,89.57,2015718,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-14
89.16,90.14,87.88,88.57,2191024,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-15
89.0,89.19,87.02,87.14,1754637,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-19
86.53,87.86,86.08,87.62,1596640,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-20
87.24,87.53,86.5,87.13,1105664,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-21
86.55,88.01,86.12,87.41,1234239,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-22
87.1,90.3,87.0,90.29,1561804,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-25
90.01,90.46,88.84,89.89,1095166,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-26
89.12,90.93,88.33,88.53,2003957,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-27
88.72,91.23,88.55,89.14,1473888,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-28
88.59,89.24,87.28,87.5,2230286,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-01-29
88.04,88.7,87.05,87.8,914927,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-01
88.05,89.18,87.22,88.23,1046981,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-02
87.99,88.47,87.44,88.0,785493,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-03
87.85,88.81,87.04,88.28,954546,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-04
88.41,89.04,87.73,87.8,1144060,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-05
87.82,87.82,85.22,85.51,2134252,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-08
85.84,86.16,84.25,85.74,1101200,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-09
86.68,87.55,85.76,87.27,1545821,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-10
87.03,87.47,86.03,86.23,959299,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-11
86.0,86.13,84.81,85.17,1027975,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-12
85.44,85.44,83.44,83.89,1263942,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-16
83.98,84.58,81.45,82.34,1752197,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-17
81.62,82.82,81.0,82.55,1513358,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-18
82.55,82.6,81.12,81.46,1561855,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-19
81.69,81.69,77.74,78.65,2400071,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-22
79.17,80.75,78.76,80.19,1773453,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-23
80.13,80.75,79.08,80.11,1671751,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-24
79.97,80.85,79.89,80.56,1472399,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-25
80.97,82.44,79.43,79.48,2362170,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-02-26
80.04,81.47,80.0,80.73,1330607,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-03-01
80.7,81.14,79.52,80.72,1473069,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-03-02
79.61,80.26,76.64,77.78,1774329,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-03-03
77.92,79.37,77.03,77.27,1779791,0.0,0.0,ES,Eversource Energy,Utilities,Electric Utilities,2021-03-04
