Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
53.94,54.68,53.68,54.5,2196870,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-10-26
54.37,54.62,53.5,53.78,2371456,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-10-27
52.94,53.64,51.3,51.4,3742342,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-10-28
51.17,51.36,50.38,50.74,3053498,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-10-29
50.56,50.91,49.53,50.61,3033622,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-10-30
51.39,52.76,50.66,52.67,2358272,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-02
53.38,54.46,53.03,54.1,3909734,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-03
53.68,54.55,52.76,52.88,2005410,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-04
53.26,54.3,53.24,53.41,1462568,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-05
53.32,53.78,52.26,52.46,1595842,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-06
54.86,56.36,54.47,54.58,2190526,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-09
54.34,55.14,54.08,54.62,1909562,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-10
54.9,55.06,54.18,54.92,1831392,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-11
54.54,54.82,53.43,53.88,1853090,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-12
54.08,54.84,54.08,54.59,2474340,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-13
56.04,56.44,55.14,56.38,2590286,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-16
56.14,56.56,55.84,55.98,2496338,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-17
56.3,56.68,55.05,55.1,2663276,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-18
55.11,55.11,54.18,54.48,2118976,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-19
54.43,54.94,54.18,54.49,2875012,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-20
54.66,55.11,54.24,54.86,2273080,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-23
55.42,55.43,54.87,55.3,2486398,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-24
55.4,56.22,54.84,56.12,2355568,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-25
56.18,56.18,55.24,55.76,1625468,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-27
55.49,55.49,54.12,54.42,4772526,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-11-30
54.84,55.54,54.36,54.42,2213218,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-01
54.14,54.39,53.15,54.3,3307236,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-02
54.01,54.19,53.09,53.32,2386356,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-03
53.48,53.7,52.82,53.36,1855982,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-04
52.92,53.85,52.7,53.3,1881780,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-07
52.87,53.38,52.64,52.64,2145014,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-08
52.86,53.07,51.88,52.23,3304664,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-09
52.23,52.55,51.48,51.63,2976748,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-10
51.47,51.72,51.05,51.39,2276604,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-11
51.6,52.2,50.64,50.7,2080840,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-14
50.88,51.52,50.22,51.29,3304482,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-15
51.19,51.72,50.22,50.25,3092552,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-16
50.49,50.99,50.15,50.28,2397336,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-17
50.26,50.44,49.68,50.01,4753386,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-18
49.54,49.57,48.29,48.51,2590698,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-21
48.6,48.6,47.74,48.0,2463018,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-22
48.3,48.68,47.72,47.74,2635130,0.0,0.0,ETR,Entergy,Utilities,Electric Utilities,2020-12-23
