Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
55.89,56.17,55.41,55.69,1441052,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-10-26
55.74,57.2,55.35,56.39,2064162,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-10-27
55.68,56.28,55.12,55.37,2245754,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-10-28
55.04,56.0,54.16,55.33,1399249,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-10-29
55.08,55.31,54.41,55.2,1461974,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-10-30
56.01,56.36,55.17,56.31,1353882,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-02
56.96,57.37,56.45,56.98,1118439,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-03
56.84,57.85,55.48,55.77,1577849,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-04
56.62,57.85,54.64,55.19,2629046,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-05
55.3,56.05,54.24,55.04,1335286,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-06
56.85,62.53,56.8,57.99,3608601,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-09
57.97,59.82,57.57,58.59,5792566,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-10
58.58,58.68,56.7,57.3,2799142,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-11
56.88,56.88,55.03,55.72,2630097,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-12
55.54,57.23,55.54,57.11,1844857,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-13
57.95,58.02,56.65,57.63,1657203,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-16
57.13,57.49,56.51,56.57,1485086,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-17
56.94,56.96,55.0,55.01,1671946,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-18
54.46,54.62,53.27,53.69,3132344,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-19
53.65,54.92,53.29,54.51,2605172,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-20
54.63,55.32,54.06,54.97,4114968,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-23
55.8,56.18,55.32,55.8,3036557,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-24
55.73,56.31,55.15,56.18,2129410,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-25
56.35,56.36,55.1,55.77,1145053,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-27
55.51,55.88,55.0,55.41,4273012,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-11-30
56.12,56.75,55.48,55.56,1655447,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-01
55.13,56.12,54.89,56.1,1338524,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-02
55.77,56.05,55.25,55.5,1653141,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-03
55.46,55.62,54.71,54.92,840271,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-04
54.89,55.36,54.67,55.12,760124,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-07
55.59,55.84,55.09,55.46,2679271,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-08
55.29,55.64,55.16,55.5,1495314,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-09
55.43,55.58,55.06,55.1,2323860,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-10
55.0,55.35,54.66,55.13,1184923,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-11
55.79,56.3,54.41,54.41,1219579,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-14
54.65,55.3,54.21,54.66,1714470,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-15
54.86,55.36,53.5,53.67,1785304,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-16
53.99,54.5,53.57,54.04,1753511,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-17
54.0,54.25,53.15,53.35,2420891,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-18
52.93,53.35,51.88,52.78,5258913,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-21
52.8,53.0,52.31,52.65,3157226,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-22
52.98,53.54,52.75,52.78,4659706,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-23
52.92,53.61,52.03,53.43,1141407,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-24
53.87,54.06,53.36,53.83,3270210,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-28
53.96,54.35,53.66,53.96,2928119,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-29
53.89,54.45,53.63,54.07,4078758,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-30
54.09,55.56,53.96,55.51,4692893,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2020-12-31
55.36,55.64,53.54,53.75,1582385,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-04
53.79,54.09,53.23,53.64,1305329,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-05
54.17,54.93,53.68,54.72,2717758,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-06
54.69,54.86,53.11,53.23,2531226,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-07
52.9,53.22,52.29,53.0,1909593,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-08
52.74,53.18,52.13,52.44,1884558,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-11
52.44,53.07,52.18,52.89,1670409,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-12
53.06,54.47,52.98,54.26,1214933,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-13
54.4,54.4,53.16,53.31,1015677,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-14
53.05,54.52,52.84,54.3,1812397,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-15
54.58,54.58,53.28,53.38,1421178,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-19
53.16,54.07,53.0,53.89,1075014,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-20
53.54,53.72,53.23,53.58,1723391,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-21
53.3,54.4,53.1,53.8,2581984,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-22
53.5,54.37,53.15,54.26,2822406,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-25
54.35,54.4,53.09,53.54,1686059,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-26
53.35,53.96,52.4,52.72,1943650,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-27
53.09,54.9,52.84,53.84,1891973,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-28
53.47,54.54,53.24,53.73,4350983,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-01-29
53.9,54.25,53.2,53.74,1388482,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-01
53.92,55.19,53.7,53.87,1811186,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-02
53.61,54.16,53.4,53.64,1461778,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-03
53.54,55.03,53.13,55.0,1659939,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-04
55.21,55.38,54.68,54.89,2002568,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-05
54.83,55.1,54.02,54.22,1213788,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-08
54.3,54.72,53.76,54.7,620152,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-09
55.28,55.47,54.95,55.34,1018429,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-10
55.1,55.36,54.61,54.72,922121,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-11
54.61,55.03,54.24,54.43,807897,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-12
54.5,54.7,54.14,54.42,1406441,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-16
54.73,54.97,54.38,54.8,1175533,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-17
54.96,55.6,54.75,55.22,1539627,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-18
55.3,55.48,54.14,54.23,1375008,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-19
54.2,54.35,51.92,52.41,2452181,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-22
53.1,54.45,52.97,54.35,2386025,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-23
54.25,54.73,53.95,54.55,1760637,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-24
54.44,55.56,53.48,53.69,3155256,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-25
54.83,55.44,53.43,53.63,3522437,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-02-26
54.17,54.71,53.8,53.96,2371473,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-01
53.85,53.99,53.02,53.61,1600384,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-02
53.4,53.88,52.87,53.71,1577149,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-03
54.5,55.6,54.0,54.82,2624113,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-04
54.59,55.59,54.38,55.35,1852732,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-05
55.45,56.7,55.11,56.27,2182632,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-08
56.07,56.71,55.97,56.54,2652894,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-09
56.7,57.16,56.37,56.95,2314784,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-10
56.69,57.34,56.52,56.76,1329875,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-11
57.3,57.8,56.93,57.68,1199360,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-12
57.91,59.24,57.88,59.19,2059181,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-15
58.7,59.81,58.53,59.61,1526535,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-16
59.76,59.76,58.35,58.38,1103697,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-17
58.46,59.08,58.4,58.64,3275007,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-18
58.92,59.68,58.19,59.54,2729750,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-19
59.3,59.89,58.35,58.63,1961608,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-22
58.65,59.03,58.19,58.89,2691779,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-23
58.72,59.42,58.61,59.04,1039691,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-24
59.34,60.23,58.71,59.83,2443631,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-25
59.64,59.77,58.97,59.14,1434580,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-26
59.15,60.55,59.05,60.16,2455941,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-29
59.7,60.0,58.91,59.37,1110774,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-30
59.48,59.74,59.03,59.53,1220160,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-03-31
59.55,59.98,58.97,59.93,1225467,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-01
60.05,60.9,59.8,60.63,909512,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-05
60.36,61.18,59.96,61.16,1514916,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-06
61.25,61.43,60.5,61.26,2042492,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-07
61.47,61.6,60.74,60.9,1336934,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-08
61.12,61.36,60.6,60.66,1374946,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-09
60.81,61.21,60.64,60.93,941095,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-12
60.48,61.41,60.3,61.12,934995,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-13
61.16,61.26,60.63,61.07,902084,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-14
61.26,62.2,61.26,62.16,1133887,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-15
62.3,63.41,62.26,63.29,1659805,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-16
63.9,64.17,62.96,63.24,2015713,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-19
63.6,64.92,63.5,64.81,1711986,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-20
64.89,65.26,64.38,64.61,1239276,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-21
64.66,64.89,64.1,64.22,716184,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-22
64.38,64.38,63.44,63.48,1128828,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-23
63.6,63.72,63.1,63.53,599505,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-26
63.15,63.47,62.62,62.9,815378,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-27
63.06,63.27,62.62,63.26,1291572,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-28
63.29,63.81,63.11,63.43,1136723,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-29
63.7,63.97,63.05,63.97,1206904,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-04-30
64.0,64.5,63.81,64.06,966534,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-03
64.23,64.39,63.51,64.25,1363420,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-04
64.05,64.25,62.77,63.53,1370516,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-05
63.85,64.0,62.41,63.7,1281480,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-06
63.8,64.28,63.55,63.82,973698,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-07
63.83,65.0,63.83,64.04,1143614,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-10
64.04,64.19,61.59,62.45,2238967,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-11
62.66,62.66,61.39,61.51,1015637,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-12
61.45,63.09,61.42,62.83,1752569,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-13
62.7,63.44,62.52,62.67,1263506,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-14
62.6,62.76,61.9,62.12,1628924,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-17
62.05,62.83,61.9,62.29,1374685,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-18
62.29,62.78,61.91,62.76,1397972,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-19
62.17,62.5,61.8,61.9,1219956,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-20
61.89,62.61,61.88,62.53,983238,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-21
62.66,62.85,62.19,62.63,849884,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-24
62.51,62.62,61.26,61.43,1320517,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-25
61.47,61.58,61.07,61.38,1158179,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-26
61.58,61.79,61.27,61.31,1608981,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-27
61.81,62.16,61.56,61.99,1130656,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-05-28
61.99,62.04,61.45,61.47,558333,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-01
61.5,62.09,61.14,61.8,685328,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-02
61.7,62.78,61.52,62.51,787236,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-03
62.85,62.88,62.4,62.72,657901,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-04
62.88,63.0,62.44,62.68,798051,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-07
62.85,62.85,62.1,62.59,1207730,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-08
62.95,63.51,62.65,63.36,1211748,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-09
63.36,64.22,63.05,64.01,666902,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-10
63.78,64.22,63.53,64.19,933619,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-11
64.36,64.42,63.76,63.92,915712,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-14
64.04,64.9,63.79,64.52,962847,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-15
65.32,65.64,64.1,64.22,2342220,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-16
64.18,64.93,64.13,64.48,1145922,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-17
64.22,64.22,62.5,62.54,2187388,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-18
62.59,63.78,62.26,63.71,1324080,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-21
62.26,63.08,61.81,61.88,2248986,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-22
61.88,61.88,60.9,61.08,1676149,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-23
61.0,61.68,60.81,61.38,1109545,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-24
61.24,61.8,61.14,61.66,1496012,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-25
61.89,62.25,61.52,61.72,1003359,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-28
61.71,62.09,60.36,60.64,1059573,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-29
60.59,60.79,60.11,60.43,811392,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-06-30
60.67,61.73,60.46,61.39,677187,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-01
61.39,61.72,61.12,61.58,532318,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-02
61.34,61.79,60.79,61.71,888965,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-06
61.89,61.89,61.08,61.82,910155,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-07
61.56,62.08,60.77,61.81,844741,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-08
61.86,62.01,60.95,61.79,1393470,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-09
61.67,62.08,61.46,61.9,955479,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-12
61.75,62.15,61.24,61.49,640394,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-13
61.57,62.78,61.1,62.31,1048391,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-14
62.02,63.42,62.02,63.23,1158282,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-15
63.42,64.8,63.12,64.56,1673612,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-16
64.19,64.72,63.4,64.11,2699130,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-19
64.41,64.74,63.7,64.0,2499589,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-20
64.0,64.43,63.73,63.91,1311876,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-21
63.98,64.31,63.38,64.14,1331442,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-22
64.14,65.09,63.86,65.08,1351596,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-23
64.94,65.26,64.45,65.15,1711666,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-26
65.11,66.53,64.82,66.3,1213031,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-27
66.3,66.3,64.97,65.21,1063980,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-28
65.23,65.78,65.17,65.36,1085107,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-29
65.23,65.87,65.02,65.22,2449494,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-07-30
65.65,66.17,65.12,65.81,922489,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-02
65.92,66.45,65.62,66.38,877740,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-03
66.08,66.34,65.5,66.24,1249420,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-04
66.87,67.09,66.12,67.05,1180783,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-05
67.01,67.3,66.66,66.72,886608,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-06
66.72,67.06,66.41,66.74,850009,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-09
66.67,67.14,66.4,66.92,686646,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-10
67.02,67.83,66.87,67.55,1185211,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-11
67.58,67.7,67.23,67.41,1016034,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-12
67.42,68.14,67.38,68.1,905489,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-13
68.23,69.0,68.11,68.8,1153229,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-16
68.75,69.06,68.38,68.97,1392923,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-17
68.91,69.2,68.43,68.87,2106404,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-18
68.37,68.92,68.2,68.6,1897627,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-19
68.4,69.29,68.2,69.26,1475502,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-20
69.24,69.32,68.52,68.91,1577833,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-23
68.91,68.92,67.97,68.48,1669784,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-24
68.41,69.08,68.18,68.86,1143793,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-25
68.88,69.14,68.68,69.11,1651857,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-26
69.18,69.45,68.25,68.31,1448136,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-27
68.15,68.61,67.84,67.91,936442,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-30
67.9,68.63,67.84,68.45,1827168,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-08-31
68.57,68.82,68.13,68.62,947592,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-01
68.73,69.18,68.62,68.95,1018263,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-02
68.92,69.09,68.27,68.5,903768,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-03
68.38,68.45,67.11,67.23,1317836,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-07
67.22,68.66,67.1,68.41,1070124,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-08
68.39,68.55,67.81,68.19,777118,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-09
68.16,68.16,66.61,66.69,912441,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-10
67.29,67.58,66.49,66.58,958084,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-13
66.81,67.0,65.6,65.76,1019820,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-14
64.61,65.61,64.16,64.78,2273748,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-15
64.75,65.16,64.44,64.55,1257708,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-16
64.1,65.16,63.9,64.2,3392593,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-17
64.17,65.47,63.58,64.26,1738932,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-20
64.29,64.67,63.68,63.87,1661786,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-21
64.11,64.24,62.57,62.83,1532717,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-22
63.08,64.17,62.84,63.32,1610045,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-23
64.29,64.66,63.12,63.15,1398857,0.0,0.0,EVRG,Evergy,Utilities,Electric Utilities,2021-09-24
