Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
79.23,79.52,77.32,78.08,2431723,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-10-26
78.35,78.65,76.39,76.5,2690087,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-10-27
75.01,75.45,73.18,73.26,3232781,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-10-28
73.42,73.99,72.1,72.91,2279777,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-10-29
72.48,72.81,70.92,71.69,3160023,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-10-30
73.11,73.84,72.14,72.6,2671351,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-02
73.5,74.8,73.1,74.21,2545658,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-03
76.24,77.49,75.13,75.97,3287216,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-04
76.96,78.44,76.14,77.55,2771546,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-05
77.69,78.51,77.16,78.03,2620433,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-06
82.0,85.83,81.6,84.0,4277261,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-09
83.7,83.96,81.0,81.21,3406353,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-10
81.76,81.76,79.21,80.03,2490704,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-11
79.38,80.6,78.34,80.35,2470798,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-12
80.34,82.28,79.89,81.78,2384903,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-13
82.9,83.2,81.13,82.17,1891266,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-16
85.25,88.0,83.89,85.18,5046978,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-17
84.85,87.24,84.6,85.24,5079205,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-18
84.45,85.54,84.07,85.24,2219908,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-19
85.03,85.39,84.36,84.53,2883151,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-20
84.95,85.81,83.86,84.7,1638888,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-23
85.5,86.15,85.01,85.61,1947502,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-24
85.27,85.54,83.83,84.21,1739009,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-25
84.87,85.36,83.83,85.26,919782,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-27
84.98,84.98,83.12,83.89,3984526,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-11-30
84.56,84.93,83.56,83.88,2563992,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-01
83.67,84.81,83.17,84.47,1519523,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-02
83.9,84.78,83.38,83.65,1747998,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-03
84.23,85.96,83.71,85.76,2437756,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-04
85.7,86.54,85.14,86.06,2805304,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-07
85.98,86.07,84.32,85.4,2036354,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-08
85.5,86.0,83.9,85.03,2927964,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-09
85.03,87.77,84.82,86.74,2662767,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-10
86.2,86.27,83.65,84.18,2248056,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-11
84.53,85.8,83.51,83.57,2443463,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-14
84.77,85.48,83.69,85.15,2785705,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-15
83.88,86.08,83.72,85.09,1861273,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-16
85.0,86.59,84.66,86.52,1727011,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-17
86.44,87.2,85.77,86.82,6508898,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-18
85.19,85.75,83.22,85.64,2361284,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-21
85.79,88.44,85.28,88.0,2208525,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-22
88.5,90.06,88.27,88.28,1640615,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-23
88.52,88.99,88.15,88.63,441507,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-24
88.89,90.78,88.89,90.58,1478118,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-28
91.39,92.08,89.93,90.0,1504617,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-29
90.5,90.76,89.29,89.64,1134434,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-30
89.76,91.33,89.37,91.23,1112707,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2020-12-31
91.5,91.73,87.88,88.92,2432535,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-04
88.85,89.42,88.01,88.44,2749509,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-05
87.68,88.45,86.6,87.2,3212838,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-06
87.53,89.6,86.78,89.44,2527234,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-07
90.04,91.37,89.62,90.67,2030943,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-08
90.21,90.33,89.14,89.37,2144549,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-11
89.28,89.66,87.6,87.85,2235509,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-12
87.55,89.52,87.35,89.26,1838629,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-13
89.31,89.65,87.3,87.49,2910320,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-14
87.27,88.15,86.84,87.87,3382625,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-15
88.67,89.43,87.8,87.91,2019412,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-19
88.32,88.64,87.37,88.1,3603192,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-20
88.17,88.89,86.55,87.23,1827095,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-21
86.98,87.38,85.21,85.52,3312700,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-22
85.39,86.31,84.6,85.89,3377885,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-25
84.6,87.84,84.03,86.54,2268986,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-26
85.8,85.99,84.23,84.84,3349264,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-27
82.06,85.6,82.01,83.38,5332384,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-28
83.01,83.5,81.62,82.58,4339848,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-01-29
83.54,83.87,81.85,81.92,2196847,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-01
82.22,84.72,82.01,83.97,2578839,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-02
83.51,84.12,82.45,83.86,2239763,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-03
84.54,86.16,84.02,85.43,2497701,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-04
85.96,86.19,85.02,85.1,2000570,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-05
85.15,86.32,84.61,86.08,2216918,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-08
86.3,86.93,85.37,85.8,1513941,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-09
86.01,86.74,85.62,86.39,2738961,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-10
86.81,88.11,86.22,88.07,2259335,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-11
87.27,87.82,86.68,87.65,2142403,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-12
88.2,88.2,86.13,86.98,2336087,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-16
86.43,86.85,84.78,85.07,2438263,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-17
84.44,86.1,83.26,85.24,2330191,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-18
85.59,85.82,83.99,84.31,4913295,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-19
83.81,84.0,82.76,83.34,3241482,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-22
83.63,85.63,82.44,85.22,4340210,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-23
85.28,86.08,84.44,84.45,1967998,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-24
84.15,85.09,82.92,83.97,2143406,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-25
84.35,84.35,82.71,83.1,2680472,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-02-26
83.99,85.79,83.99,85.77,3236593,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-01
86.0,86.88,85.48,86.28,3350199,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-02
85.78,86.41,84.24,84.25,2561914,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-03
84.25,84.88,81.23,81.88,2800292,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-04
82.29,82.49,78.86,81.72,2801445,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-05
81.37,82.38,80.29,80.32,2828178,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-08
81.12,83.42,80.9,82.02,2328558,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-09
82.58,84.96,82.25,82.98,2812877,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-10
83.64,84.39,82.59,82.97,2029515,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-11
83.07,83.24,81.96,82.07,1887539,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-12
81.66,82.1,80.79,81.14,3818972,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-15
81.31,82.18,80.62,81.26,2535355,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-16
81.01,81.21,79.72,80.38,2328389,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-17
80.0,80.2,78.58,78.68,2389539,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-18
78.67,80.14,78.44,79.41,3844057,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-19
78.99,80.42,78.8,79.66,2555253,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-22
79.69,80.81,79.31,79.77,2425198,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-23
80.0,80.93,79.66,80.21,2541585,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-24
80.33,80.8,79.3,80.55,2803476,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-25
80.75,82.41,80.21,82.3,2803931,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-26
82.14,83.18,81.2,82.43,2474530,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-29
82.09,83.22,81.97,82.85,3065361,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-30
83.35,84.33,83.17,83.64,3613287,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-03-31
83.98,84.44,83.12,83.84,2469115,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-01
84.91,86.24,84.48,85.74,2594910,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-05
85.2,86.55,85.19,85.41,2367816,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-06
85.44,85.99,84.02,84.12,2578185,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-07
84.88,85.14,84.03,84.16,2506182,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-08
84.51,86.0,83.8,85.99,2586125,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-09
85.75,86.53,85.43,85.82,2645458,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-12
85.54,86.81,85.39,86.44,2090215,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-13
86.36,87.66,86.14,86.25,1990923,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-14
86.45,88.4,86.45,88.0,1891518,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-15
88.57,89.13,87.66,89.02,7035048,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-16
88.37,89.03,87.81,88.56,2700362,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-19
88.76,91.03,88.73,89.63,3978199,0.0,0.0,EW,Edwards Lifesciences,Health Care,Health Care Equipment,2021-04-20
