Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
101.56,101.64,96.16,99.01,2311401,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-26
98.96,98.96,94.47,95.07,1908747,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-27
92.8,93.85,90.77,91.83,2808330,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-28
91.19,95.91,90.52,95.22,1733189,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-29
94.88,95.26,92.71,94.15,2124927,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-10-30
95.05,95.23,92.56,94.72,2571240,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-02
95.95,99.74,95.51,98.8,2635725,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-03
99.24,100.72,97.17,98.5,3813594,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-04
102.01,106.74,100.52,103.1,4470035,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-05
102.0,104.32,100.8,103.27,1926389,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-06
119.2,130.57,119.19,128.64,19181738,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-09
122.28,126.81,119.74,122.75,7438947,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-10
120.3,123.39,118.64,119.7,3728442,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-11
118.3,119.9,115.6,117.5,3191114,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-12
119.1,124.98,118.3,123.45,3612474,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-13
128.77,128.98,122.32,123.56,3136091,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-16
122.58,123.78,121.13,123.03,1937660,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-17
123.1,126.08,122.01,122.52,1981660,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-18
121.61,124.16,120.03,123.96,2045136,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-19
123.45,123.66,119.77,119.9,2937723,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-20
121.18,124.95,120.12,122.8,2290897,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-23
125.7,125.74,122.8,125.05,2620022,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-24
124.25,124.38,121.8,123.18,1344947,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-25
124.0,125.68,122.46,123.73,840785,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-27
123.71,125.31,121.36,124.49,2791261,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-11-30
126.79,128.31,125.17,126.22,1987262,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-01
124.7,129.42,124.49,127.87,1726785,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-02
129.11,129.93,126.7,127.35,1710695,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-03
128.19,128.78,125.25,128.58,2024365,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-04
128.51,128.78,124.62,126.52,1767393,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-07
125.82,127.4,124.05,126.28,1693465,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-08
128.24,132.92,125.75,128.84,3469307,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-09
125.69,134.08,125.69,130.47,4567854,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-10
129.52,129.66,122.74,123.02,4987934,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-11
124.45,125.0,122.2,123.33,2774089,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-14
124.5,126.66,123.36,126.0,2218584,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-15
126.49,126.49,122.82,124.98,2739871,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-16
125.66,125.66,122.34,124.48,3609811,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-17
125.2,127.46,122.4,125.54,7924096,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-18
121.78,124.69,120.15,123.36,2637559,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-21
124.08,126.11,122.5,123.15,2185970,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-22
123.99,128.16,123.17,126.49,1353786,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-23
126.94,127.43,125.75,126.96,564080,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-24
127.79,130.3,127.13,128.48,1651290,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-28
128.82,132.28,128.28,131.3,2180682,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-29
132.0,133.05,130.88,132.12,1231279,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-30
132.11,133.69,130.28,132.4,1459038,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2020-12-31
134.57,135.87,128.31,131.37,3472433,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-04
131.47,137.94,131.46,137.14,3487274,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-05
138.11,147.55,136.84,143.42,4559129,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-06
144.11,144.67,139.84,142.29,2173521,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-07
143.4,144.75,141.05,144.02,1484210,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-08
140.31,144.5,140.11,142.96,1474677,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-11
142.85,144.05,140.86,140.95,1519917,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-12
140.2,141.09,138.35,140.61,1966189,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-13
141.12,146.41,141.12,144.17,2666137,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-14
144.0,144.35,140.11,140.69,1669378,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-15
142.54,143.69,140.23,142.82,1809520,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-19
141.66,144.1,138.4,141.75,2293728,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-20
142.88,142.88,136.01,138.88,3168368,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-21
139.82,140.33,136.44,136.52,2697694,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-22
135.69,138.55,126.19,135.99,7253683,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-25
137.59,137.59,130.01,131.5,2984782,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-26
128.37,130.49,118.3,123.21,7235895,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-27
126.38,130.16,124.6,126.74,8107058,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-28
124.94,126.34,120.42,124.1,4601110,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-01-29
126.15,129.6,125.64,127.3,5913448,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-01
129.06,136.78,128.83,136.13,4934283,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-02
137.98,141.15,137.06,138.48,3341412,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-03
141.66,142.92,140.01,141.91,2080991,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-04
143.33,145.67,140.29,141.4,2058936,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-05
142.1,146.32,142.1,145.42,2523695,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-08
144.98,145.91,143.07,144.48,2613330,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-09
145.55,151.86,145.3,148.9,3428272,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-10
149.3,153.26,146.88,149.91,3365607,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-11
148.37,151.7,145.58,146.51,5379003,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-12
146.41,148.88,143.23,147.84,4304982,0.0,0.0,EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2021-02-16
