Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
118.04,118.72,116.13,118.61,1367441,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-10-26
118.77,120.29,116.99,117.09,1028002,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-10-27
116.6,117.52,114.38,115.7,1142070,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-10-28
115.72,117.02,115.04,116.32,1498577,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-10-29
115.58,116.98,114.32,115.95,791430,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-10-30
116.55,117.54,115.14,115.85,1163408,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-02
116.83,117.53,115.6,116.85,1893769,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-03
117.0,119.62,116.32,117.35,1473902,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-04
117.46,119.03,113.55,113.9,1520085,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-05
114.88,116.04,112.44,112.72,1883746,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-06
119.64,121.07,106.77,106.92,2216671,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-09
106.92,115.51,106.33,115.51,1708076,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-10
116.06,118.12,114.63,117.99,1302539,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-11
118.17,118.3,114.46,115.58,609890,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-12
117.57,117.92,116.14,117.72,846850,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-13
119.2,119.32,115.05,117.91,1020670,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-16
117.23,118.33,116.23,117.87,870473,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-17
117.84,117.91,113.12,113.12,703190,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-18
112.84,113.61,111.25,112.62,671077,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-19
112.33,113.01,111.34,112.69,704477,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-20
112.85,113.94,110.55,110.89,1030344,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-23
111.64,111.8,109.5,110.0,1126173,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-24
110.41,112.23,109.96,111.99,564506,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-25
111.87,111.87,109.25,110.0,253139,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-27
109.64,112.74,109.64,112.73,1078350,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-11-30
112.93,114.18,111.66,113.66,1051727,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-12-01
113.27,114.49,111.06,111.42,587603,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-12-02
111.63,113.6,111.29,113.5,880781,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-12-03
113.72,114.9,112.51,114.35,615818,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-12-04
113.6,115.36,113.6,115.0,1197595,0.0,0.0,EXR,Extra Space Storage,Real Estate,Self-Storage REITs,2020-12-07
