Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
28.54,28.74,27.24,27.52,2738081,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-10-26
27.35,27.44,26.44,26.57,4581165,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-10-27
25.5,26.07,24.51,24.6,5808208,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-10-28
24.0,25.63,23.63,25.54,4695002,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-10-29
25.39,25.99,24.85,25.96,3395091,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-10-30
26.45,28.21,25.42,27.71,4311322,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-02
28.71,29.47,27.85,28.12,4269117,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-03
28.04,28.83,26.9,27.12,3971996,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-04
27.3,27.82,26.16,26.2,3869998,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-05
26.08,26.35,24.57,24.74,4655893,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-06
28.24,33.6,28.01,32.4,10946944,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-09
33.44,33.8,31.5,33.72,5136919,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-10
34.1,34.23,32.48,32.85,4373573,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-11
31.8,33.24,31.14,31.66,2863887,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-12
32.15,34.2,32.13,33.6,3067222,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-13
35.45,36.31,35.09,35.93,4228558,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-16
35.02,37.36,34.7,37.31,3521369,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-17
37.75,39.85,37.12,37.74,5090168,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-18
37.08,39.65,36.46,39.44,6155597,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-19
39.39,40.0,38.6,39.84,3236936,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-20
40.73,44.79,40.6,44.49,5003527,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-23
46.53,47.25,45.0,47.14,5395889,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-24
46.31,47.15,44.19,45.39,4276846,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-25
44.61,44.75,42.5,43.52,3677444,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-27
42.81,43.29,39.78,39.96,16587219,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-11-30
41.52,41.93,39.54,39.85,4309176,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-01
39.59,42.36,39.3,40.52,4252834,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-02
41.08,42.58,40.6,41.91,3509889,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-03
43.1,47.39,43.1,47.22,6387485,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-04
46.39,47.15,45.14,45.64,3446868,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-07
45.01,46.98,44.72,46.14,3125202,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-08
46.77,48.32,46.14,47.33,4312010,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-09
47.12,51.18,47.12,49.94,4896086,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-10
50.07,50.29,48.75,50.11,2533265,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-11
51.31,51.53,46.91,46.95,3596824,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-14
47.85,48.62,46.22,48.16,2919949,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-15
48.44,48.5,47.01,47.65,2818548,0.0,0.0,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2020-12-16
