Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
21.96,22.17,21.87,22.15,6025136,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-10-26
22.21,22.28,21.76,21.79,4665694,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-10-27
21.4,21.69,21.33,21.47,6437642,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-10-28
21.48,21.82,21.28,21.56,4582342,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-10-29
21.44,21.75,21.32,21.62,6036666,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-10-30
21.84,22.28,21.84,22.26,5391200,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-02
22.53,23.22,22.53,23.11,6248428,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-03
23.36,23.88,23.2,23.3,8081364,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-04
23.7,23.82,23.14,23.17,6535018,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-05
23.2,23.56,23.02,23.49,4273206,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-06
24.33,24.68,22.96,23.0,7809864,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-09
22.78,23.58,22.74,23.38,7501964,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-10
23.56,23.68,23.21,23.62,4178954,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-11
23.51,23.56,23.0,23.16,5178190,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-12
23.4,23.84,23.34,23.76,4312288,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-13
23.88,24.3,23.68,24.3,4509202,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-16
24.03,24.14,23.73,23.83,4713416,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-17
23.86,24.08,23.72,23.8,5311500,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-18
23.75,24.04,23.46,23.99,3693954,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-19
23.92,24.06,23.6,23.65,10314904,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-20
23.69,23.98,23.53,23.96,9417144,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-23
24.06,24.57,23.82,24.47,7517150,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-24
24.39,24.48,23.92,24.1,4345358,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-25
24.12,24.4,24.06,24.29,3310590,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-27
24.26,24.76,24.16,24.72,12348108,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-11-30
24.76,24.8,24.21,24.26,6851620,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-01
24.16,24.34,23.7,23.79,4677782,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-02
23.74,24.0,23.62,23.68,6003952,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-03
23.79,24.23,23.76,24.02,6777102,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-04
24.0,24.5,23.86,24.34,6665106,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-07
24.18,24.67,24.08,24.55,5769666,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-08
24.52,24.92,24.51,24.82,6378256,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-09
24.64,24.77,24.16,24.2,5075996,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-10
24.15,24.79,23.8,24.6,5626956,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-11
24.68,24.93,24.6,24.61,5004354,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-14
24.71,25.09,24.64,24.92,5216646,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-15
24.46,24.82,24.36,24.74,5719386,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-16
24.82,24.87,24.65,24.78,5505140,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-17
24.84,24.91,24.41,24.67,11513978,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-18
24.4,24.86,24.17,24.8,6684390,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-21
24.85,24.88,24.59,24.74,4662926,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-22
24.89,24.89,24.45,24.54,3870054,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-23
24.68,24.76,24.58,24.76,1408954,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-24
24.94,25.06,24.78,25.02,8330338,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-28
25.08,25.24,24.64,24.86,5729328,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-29
25.0,25.0,24.36,24.54,2920300,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-30
24.44,24.55,24.16,24.42,4758986,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2020-12-31
24.52,24.68,23.6,23.82,7152140,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-04
23.8,24.19,23.67,24.14,5331978,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-05
24.02,24.7,23.97,24.55,7418856,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-06
24.63,24.9,24.18,24.86,5908122,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-07
24.79,25.46,24.79,25.38,7554562,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-08
25.16,25.44,25.12,25.24,4518038,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-11
25.2,25.94,25.16,25.81,6748444,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-12
25.76,25.81,25.34,25.35,6633366,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-13
25.49,25.52,24.97,25.16,4419534,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-14
25.12,25.3,24.76,25.24,5290590,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-15
25.4,25.58,24.95,25.21,8838082,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-19
25.0,25.24,23.86,24.35,13281902,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-20
24.4,24.56,23.92,24.08,8150570,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-21
24.08,24.12,23.78,23.86,7833542,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-22
23.8,24.12,23.45,24.06,6463762,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-25
24.22,24.28,23.68,23.8,4724840,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-26
23.54,23.98,23.22,23.91,8923148,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-27
23.87,24.25,23.32,23.32,6890270,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-28
23.2,23.5,22.76,22.8,7538898,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-01-29
23.11,23.39,23.0,23.21,5629940,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-02-01
23.29,23.46,22.92,23.24,7202712,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-02-02
23.18,23.62,23.05,23.5,6705756,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-02-03
23.31,23.58,22.94,23.56,8445382,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-02-04
23.7,23.81,23.47,23.65,4927864,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-02-05
23.76,24.0,23.66,23.74,4700312,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-02-08
23.7,23.72,23.3,23.66,4844572,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-02-09
23.82,23.92,23.54,23.83,4361692,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-02-10
23.92,23.98,23.38,23.54,3063290,0.0,0.0,FAST,Fastenal,Industrials,Trading Companies & Distributors,2021-02-11
