Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
279.99,280.5,273.4,277.62,2352204,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-10-26
279.94,280.35,274.39,274.41,1950152,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-10-27
262.73,266.92,258.0,259.99,4134309,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-10-28
260.21,269.74,260.06,267.02,2719150,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-10-29
264.6,265.99,255.56,259.47,2728255,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-10-30
262.7,267.49,259.01,266.98,2084887,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-02
271.95,276.92,268.12,274.48,2665773,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-03
276.71,278.8,268.53,269.1,2839667,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-04
273.0,282.27,273.0,279.07,2270858,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-05
278.52,284.3,277.12,279.77,1923271,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-06
274.24,274.5,256.35,263.88,6020483,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-09
264.38,268.77,258.0,267.27,2917433,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-10
271.17,271.31,266.0,267.81,1963199,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-11
269.23,270.89,263.99,267.16,1958753,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-12
267.99,273.72,267.99,271.91,1613356,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-13
273.52,280.88,270.42,279.83,2509631,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-16
281.87,286.2,276.9,285.05,2857389,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-17
285.7,289.76,282.49,282.5,2922370,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-18
283.77,285.0,276.88,279.85,2409109,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-19
280.97,281.66,276.69,276.69,1935166,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-20
280.21,286.4,280.2,286.35,2473739,0.0,0.0,FDX,FedEx,Industrials,Air Freight & Logistics,2020-11-23
