Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
33.04,33.42,32.74,33.32,7202444,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-10-26
33.38,33.61,33.08,33.39,5296784,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-10-27
33.0,33.06,31.55,31.76,7796692,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-10-28
31.69,32.3,31.06,31.81,8653504,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-10-29
30.66,31.48,29.57,29.72,20414599,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-10-30
30.05,30.75,29.72,29.93,7307640,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-02
30.36,30.5,29.96,30.12,4559929,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-03
29.9,30.19,29.04,29.06,6134431,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-04
29.15,29.98,29.12,29.39,5867339,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-05
29.43,29.84,29.0,29.07,6104515,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-06
30.05,31.06,29.38,29.52,8321331,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-09
29.71,29.87,29.11,29.31,8555942,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-10
29.32,29.81,29.15,29.79,5537986,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-11
29.61,29.68,28.82,29.33,8719900,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-12
29.61,29.75,29.28,29.51,3921497,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-13
29.94,29.94,28.17,28.5,11771609,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-16
28.5,29.05,28.39,28.74,7755692,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-17
28.86,29.14,28.42,28.55,7611671,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-18
28.53,29.07,28.32,29.04,5817672,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-19
28.39,28.45,27.31,28.0,23275575,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-20
28.05,28.14,27.68,27.71,5913996,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-23
27.79,27.9,26.63,26.66,14434706,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-24
26.64,26.79,26.16,26.56,7628292,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-25
26.58,26.86,26.48,26.72,2387956,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-27
26.6,26.9,26.29,26.56,8583826,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-11-30
26.46,27.21,26.27,27.17,9365799,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-01
27.1,27.34,26.85,27.32,4113311,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-02
27.32,27.93,27.05,27.9,5857514,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-03
27.9,29.08,27.85,28.95,7921189,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-04
28.92,29.56,28.8,29.47,8807709,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-07
29.25,30.44,29.21,30.26,7808877,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-08
30.45,31.08,30.38,30.64,9617976,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-09
30.7,30.83,30.06,30.22,5024239,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-10
30.1,30.75,30.09,30.38,4917731,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-11
30.7,31.08,30.3,30.35,3907559,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-14
30.43,31.41,30.27,31.4,4582190,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-15
31.45,31.7,30.84,30.91,5247747,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-16
31.13,31.33,30.49,30.5,3791785,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-17
30.44,30.84,30.12,30.34,9510663,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-18
30.02,30.08,29.54,29.99,6422378,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-21
29.9,30.08,29.7,29.95,4173433,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-22
30.18,30.28,29.29,29.29,4839096,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-23
29.39,29.75,29.2,29.68,1935926,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-24
29.77,30.38,29.48,29.62,4159557,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-28
29.69,30.09,29.52,29.71,4913302,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-29
29.76,30.14,29.72,30.11,2687750,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-30
29.97,30.64,29.87,30.61,2770856,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2020-12-31
30.61,30.66,29.35,29.51,5245293,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-04
29.5,29.9,29.24,29.84,4510389,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-05
29.82,30.47,29.8,30.3,7302880,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-06
30.38,30.42,29.62,29.63,4754867,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-07
29.66,30.0,29.53,29.91,3236737,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-08
29.9,30.54,29.86,30.2,5628590,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-11
30.16,30.54,29.95,30.49,4443270,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-12
30.6,30.94,30.51,30.79,3233612,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-13
30.8,31.41,30.65,31.25,4687764,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-14
31.12,31.74,30.76,31.67,4430687,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-15
31.9,31.95,31.02,31.11,6133966,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-19
31.0,31.38,30.7,31.33,4052265,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-20
31.12,31.45,31.04,31.07,3193648,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-21
31.08,31.42,30.8,31.27,2929776,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-22
31.11,31.88,31.07,31.86,4000067,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-25
31.94,32.12,31.64,31.93,5255191,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-26
31.55,31.76,30.74,30.86,6234523,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-27
30.85,31.34,30.67,30.86,3318132,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-28
30.8,31.09,30.38,30.76,7087985,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-01-29
30.71,31.25,30.22,31.18,4908862,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-01
31.32,32.44,31.03,31.91,5355482,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-02
31.8,32.56,31.73,32.4,5722594,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-03
32.06,32.48,31.76,32.23,5445631,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-04
32.35,32.65,32.03,32.28,4464324,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-05
32.25,32.77,31.95,32.13,5553923,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-08
32.17,32.53,31.93,32.53,3695576,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-09
32.71,32.71,31.56,31.75,5152945,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-10
31.88,31.93,31.0,31.12,4618767,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-11
31.03,31.4,31.0,31.24,2519277,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-12
31.39,32.12,31.17,31.93,5258204,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-16
31.97,32.03,31.5,31.95,5377999,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-17
31.59,35.39,31.59,34.25,18885731,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-18
34.0,34.25,33.42,34.03,6506471,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-19
34.25,34.44,33.53,33.88,3464215,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-22
34.09,34.22,33.53,33.53,4242512,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-23
33.56,34.33,33.55,34.25,4982738,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-24
34.24,34.55,33.41,33.51,4701856,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-25
33.67,33.81,33.09,33.14,4275387,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-02-26
33.64,34.06,33.39,33.41,3358318,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-03-01
33.34,33.47,32.8,32.81,3279494,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-03-02
32.82,32.96,32.27,32.9,4312645,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-03-03
33.0,33.47,32.72,33.22,5527941,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-03-04
33.46,33.5,32.52,33.21,5550861,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-03-05
33.48,33.58,33.18,33.37,4081357,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-03-08
33.72,34.43,33.64,34.18,5649420,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-03-09
34.27,34.87,34.25,34.55,3819723,0.0,0.0,FE,FirstEnergy,Utilities,Electric Utilities,2021-03-10
