Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
26.82,26.84,26.09,26.41,4847095,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-10-26
26.35,26.36,26.04,26.18,3079386,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-10-27
25.78,26.03,25.21,25.31,3730095,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-10-28
24.94,25.81,24.94,25.57,2419883,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-10-29
25.56,26.52,25.51,26.52,5643769,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-10-30
26.66,27.46,26.29,27.4,7284235,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-02
28.81,29.28,26.36,27.04,8345158,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-03
26.93,27.1,24.98,25.63,15753238,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-04
26.07,26.66,25.44,26.61,6588934,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-05
26.43,26.62,25.64,25.95,7719090,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-06
26.97,27.61,25.97,26.25,8566618,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-09
26.01,27.14,25.88,26.85,4604839,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-10
26.95,27.6,26.58,27.46,6876670,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-11
27.12,27.22,25.33,25.64,14392488,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-12
25.95,26.76,25.61,26.64,6483189,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-13
26.83,27.63,26.7,27.18,8104995,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-16
27.07,28.22,26.66,28.16,5242826,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-17
28.1,28.19,27.64,27.66,4151498,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-18
27.61,27.98,27.38,27.71,4010242,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-19
27.73,27.94,27.54,27.83,2846552,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-20
28.0,28.76,27.75,28.53,3551259,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-23
28.85,29.75,28.61,29.48,4009861,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-24
29.45,29.45,28.87,29.3,2204060,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-25
29.07,29.42,29.07,29.16,1551712,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-27
29.06,29.21,28.71,28.84,4109824,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-11-30
29.12,30.58,28.97,30.14,8830091,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-12-01
30.22,30.66,29.77,30.6,10815596,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-12-02
30.68,31.01,30.24,30.32,4730938,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-12-03
30.47,30.52,29.74,29.84,5831382,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-12-04
29.62,30.03,29.5,29.68,5121561,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-12-07
29.58,29.79,29.1,29.26,4432752,0.0,0.0,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,2020-12-08
