Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
75.96,75.96,72.46,73.3,770209,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-10-26
73.3,73.47,70.2,70.21,797482,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-10-27
69.15,69.82,67.32,67.91,889372,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-10-28
67.91,70.0,67.01,69.31,633743,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-10-29
69.04,69.76,67.81,68.78,1614591,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-10-30
69.54,71.45,68.4,71.45,570202,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-02
72.5,76.08,72.37,75.54,746132,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-03
75.4,75.77,71.79,71.89,761965,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-04
72.57,73.79,71.94,72.1,514885,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-05
72.92,73.83,67.9,68.93,1078598,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-06
75.6,94.32,75.12,91.61,2817283,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-09
90.91,94.99,90.54,94.08,1987035,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-10
93.62,93.62,88.31,90.32,1204862,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-11
87.52,88.15,83.12,85.33,1235944,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-12
86.19,89.22,86.19,88.47,917856,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-13
95.16,95.61,90.73,92.74,1016115,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-16
91.23,91.9,89.69,91.31,767637,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-17
91.54,93.53,90.41,90.65,989722,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-18
89.96,91.43,88.29,90.79,1005900,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-19
90.33,91.49,89.44,89.78,1119437,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-20
91.43,95.5,90.34,93.07,1069530,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-23
95.49,97.0,93.47,93.61,1063740,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-24
92.54,92.54,89.6,91.04,1029828,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-25
91.14,91.67,88.15,88.37,704579,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-27
88.19,88.8,86.34,87.22,5391752,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-11-30
88.96,90.78,87.18,87.6,878752,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-01
87.17,90.71,86.2,89.96,897098,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-02
90.02,92.64,89.96,91.81,777817,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-03
93.01,93.58,92.03,93.1,487856,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-04
92.62,92.62,89.79,90.3,749652,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-07
89.45,91.71,89.31,89.66,471206,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-08
90.07,90.88,89.32,90.71,583148,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-09
89.14,91.81,89.14,91.43,973795,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-10
90.51,91.12,88.4,90.15,467222,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-11
91.08,91.94,88.32,88.87,739808,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-14
89.73,93.37,88.4,93.31,834713,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-15
93.24,93.74,89.9,90.72,776683,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-16
91.25,91.5,89.61,90.73,489134,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-17
90.67,91.12,87.28,88.31,1178390,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-18
86.51,87.12,84.83,85.89,910909,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-21
86.47,86.87,85.0,86.02,642894,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-22
86.87,87.6,85.85,86.11,395928,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-23
86.57,87.01,85.32,86.58,231575,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-24
86.6,87.82,86.02,86.77,498172,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-28
87.01,88.18,85.12,85.55,451433,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-29
85.61,87.75,85.33,85.88,691634,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-30
84.65,85.24,83.1,85.12,732625,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2020-12-31
85.15,86.25,81.99,82.27,937883,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-04
82.91,84.28,82.44,82.61,705929,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-05
83.5,86.41,83.28,86.02,1094251,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-06
85.99,86.03,83.85,84.65,545124,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-07
85.02,85.3,83.94,84.53,384879,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-08
83.8,84.24,81.85,82.58,489205,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-11
82.42,84.91,82.04,84.8,657877,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-12
84.85,86.91,84.56,86.29,868083,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-13
87.04,87.8,86.38,86.78,584976,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-14
86.53,87.58,84.75,87.27,771852,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-15
87.51,87.54,85.07,87.2,692500,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-19
87.82,89.42,86.38,88.25,802857,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-20
87.77,88.02,85.39,86.96,481818,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-21
86.14,88.9,85.54,88.53,823919,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-22
87.55,90.97,86.12,88.96,850051,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-25
89.6,89.88,87.3,88.78,936767,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-26
87.98,89.89,87.54,88.3,802190,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-27
88.74,90.85,87.45,87.58,988796,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-28
87.0,89.59,85.91,87.56,2726004,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-01-29
88.22,88.49,84.38,87.04,732634,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-01
87.43,87.7,85.83,87.23,572702,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-02
86.57,88.18,85.81,87.88,456539,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-03
88.27,91.17,87.86,90.35,629844,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-04
91.21,91.66,90.32,91.26,421071,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-05
91.26,91.45,90.16,91.35,523297,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-08
91.92,93.09,91.45,93.02,577881,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-09
96.01,97.42,94.48,95.77,1305368,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-10
95.2,98.08,94.31,97.99,1253791,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-11
97.65,102.33,97.03,102.33,1276606,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-12
102.36,103.26,100.2,101.5,1431818,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-16
101.54,102.28,100.12,102.22,1020484,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-17
101.64,102.42,100.2,100.81,878390,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-18
100.72,101.73,99.69,99.71,707947,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-19
99.58,103.56,99.21,100.6,1018169,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-22
101.66,103.73,101.51,103.29,983723,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-23
103.34,106.24,102.9,106.02,1008811,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-24
106.19,106.9,102.03,103.0,807978,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-25
102.79,103.65,100.47,101.17,903817,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-02-26
103.19,105.57,102.34,104.0,1021537,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-01
104.06,104.49,101.05,101.55,864202,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-02
102.09,105.82,101.9,105.44,764538,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-03
105.69,106.7,102.33,103.68,923744,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-04
104.83,106.0,102.01,105.76,628901,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-05
106.85,110.13,105.53,109.2,752969,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-08
108.57,108.95,106.12,106.15,568839,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-09
106.27,108.76,105.78,107.52,498453,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-10
107.4,109.55,106.71,108.67,581548,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-11
109.05,110.61,108.42,110.37,638210,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-12
109.38,110.66,107.7,109.6,528058,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-15
109.23,109.23,105.85,106.43,572283,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-16
106.05,106.96,103.86,104.72,1121826,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-17
104.74,105.78,102.39,102.99,662958,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-18
102.95,103.37,100.86,100.94,1421649,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-19
101.09,101.09,99.4,100.66,666474,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-22
100.14,100.63,97.87,98.65,595645,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-23
98.97,102.26,98.83,100.33,707658,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-24
99.69,102.86,98.84,102.59,715879,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-25
103.42,105.05,102.52,104.33,537557,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-26
103.86,103.97,100.78,102.53,488760,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-29
102.81,104.01,101.9,103.29,479927,0.0,0.0,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,2021-03-30
