Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
82.65,85.11,80.67,83.75,3550542,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-10-26
83.12,84.51,81.45,82.39,3841677,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-10-27
92.33,97.93,90.21,93.31,14680686,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-10-28
91.15,92.88,86.75,87.46,5460276,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-10-29
86.84,88.1,81.71,87.04,5665075,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-10-30
89.0,90.88,87.2,88.89,3388043,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-02
89.52,90.72,85.0,87.24,4308339,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-03
82.26,83.54,77.77,79.78,9425625,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-04
82.31,88.66,82.01,86.9,5866218,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-05
88.75,90.73,86.34,88.27,4309437,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-06
95.72,95.72,86.04,86.11,4033298,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-09
83.5,86.0,79.78,80.75,3889939,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-10
82.04,85.5,82.0,84.2,2373803,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-11
84.79,85.0,80.7,81.4,2134795,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-12
82.29,82.98,79.76,79.95,2464027,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-13
80.8,82.25,79.05,80.21,2795984,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-16
80.15,81.78,79.27,81.48,2340629,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-17
82.27,83.82,80.34,81.99,2634853,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-18
81.46,85.77,81.45,84.06,2671206,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-19
85.25,86.42,83.37,84.69,1984072,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-20
85.75,87.35,84.12,86.92,3118418,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-23
89.51,91.5,86.31,90.41,2649993,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-24
89.84,93.0,89.51,92.45,2241758,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-25
95.0,97.58,93.68,94.7,2123669,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-27
96.87,98.46,90.6,93.43,2733492,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-11-30
90.88,93.4,90.06,91.06,2782281,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-12-01
89.92,91.46,87.26,90.49,1931400,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-12-02
90.99,92.73,88.51,88.92,2588534,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-12-03
89.95,91.56,88.47,89.26,1793782,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-12-04
89.95,90.85,88.21,88.75,1861027,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-12-07
88.74,90.39,88.7,89.89,1339174,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-12-08
91.21,91.34,85.22,86.22,1851882,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-12-09
85.9,87.74,85.61,86.54,1159400,0.0,0.0,FSLR,First Solar,Information Technology,Semiconductors,2020-12-10
