Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
74.59,75.47,71.51,72.91,866558,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-10-26
73.5,74.03,72.05,72.24,824185,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-10-27
71.21,71.4,69.43,71.16,1184074,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-10-28
71.71,73.48,71.44,72.78,1311254,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-10-29
72.36,72.61,69.06,70.74,1555297,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-10-30
71.35,72.59,70.6,72.09,1294695,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-02
72.63,74.42,72.12,74.14,1038651,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-03
76.17,79.87,75.88,79.78,2106532,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-04
81.0,81.0,75.44,75.76,3707972,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-05
75.75,76.32,73.86,75.0,2905286,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-06
75.0,75.5,70.58,70.63,3198073,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-09
70.0,70.88,68.66,70.18,1711737,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-10
71.0,75.0,70.66,74.62,1388311,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-11
74.84,74.84,72.18,72.51,1306700,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-12
72.55,73.74,71.33,73.7,882995,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-13
72.91,74.46,72.19,74.4,1148231,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-16
74.28,77.55,74.01,76.33,1504695,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-17
76.1,77.47,75.22,75.39,990040,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-18
75.47,76.95,75.17,76.34,650821,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-19
76.23,76.98,75.97,75.99,722726,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-20
76.57,77.7,76.33,77.28,932631,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-23
77.61,78.31,76.51,76.8,1099579,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-24
77.12,78.11,76.61,78.05,733564,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-25
78.34,79.5,77.73,79.5,379490,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-27
79.5,80.36,78.83,79.54,1676977,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-11-30
80.54,82.19,79.89,81.55,1355607,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-01
80.85,81.64,80.05,81.38,1112620,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-02
81.27,81.89,80.56,81.67,968440,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-03
81.75,84.32,81.65,83.87,1125822,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-04
84.25,85.76,83.87,85.02,1012945,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-07
85.22,87.42,84.73,87.31,1090190,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-08
87.11,87.25,83.61,83.82,1364029,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-09
83.25,84.91,82.77,84.48,762576,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-10
84.34,85.68,83.68,85.67,674552,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-11
85.82,86.8,84.59,84.6,1041373,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-14
85.4,85.97,84.52,85.84,1019190,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-15
87.05,91.81,85.82,88.0,2319466,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-16
88.62,88.9,86.74,86.82,1107029,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-17
86.39,87.1,84.51,85.03,1999832,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-18
84.07,84.71,82.18,84.19,1037724,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-21
84.58,85.85,84.34,85.3,698524,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-22
84.7,85.53,84.0,84.66,580335,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-23
84.94,85.3,84.06,84.96,248868,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-24
85.1,85.49,83.13,83.59,748753,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-28
84.52,85.24,82.88,83.29,841789,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-29
84.0,84.43,83.01,83.32,556688,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-30
83.28,83.28,82.04,82.95,779933,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2020-12-31
83.28,83.28,80.64,81.78,1870954,0.0,0.0,GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,2021-01-04
