Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
0.45,0.46,0.44,0.45,910813,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-10-26
0.44,0.45,0.43,0.44,657509,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-10-27
0.44,0.45,0.42,0.42,1146834,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-10-28
0.44,0.44,0.4,0.43,677955,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-10-29
0.43,0.45,0.42,0.43,397503,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-10-30
0.44,0.44,0.43,0.44,343968,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-02
0.44,0.45,0.43,0.44,357817,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-03
0.45,0.48,0.44,0.45,767125,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-04
0.44,0.48,0.44,0.47,668585,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-05
0.48,0.48,0.46,0.47,658960,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-06
0.48,0.53,0.45,0.46,1930284,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-09
0.46,0.49,0.46,0.49,713580,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-10
0.46,0.48,0.46,0.48,567357,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-11
0.46,0.49,0.46,0.47,590604,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-12
0.47,0.5,0.46,0.48,651748,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-13
0.49,0.49,0.46,0.49,746628,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-16
0.48,0.49,0.47,0.48,719543,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-17
0.48,0.5,0.48,0.5,358837,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-18
0.5,0.5,0.48,0.49,479512,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-19
0.51,0.51,0.48,0.49,431296,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-20
0.49,0.49,0.47,0.48,522094,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-23
0.48,0.53,0.47,0.51,1693361,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-24
0.52,0.56,0.49,0.53,1368759,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-25
0.53,0.54,0.49,0.51,720716,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-27
0.51,0.52,0.49,0.5,672615,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-11-30
0.53,0.53,0.5,0.5,732215,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-01
0.48,0.53,0.48,0.52,609180,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-02
0.5,0.52,0.5,0.52,748039,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-03
0.52,0.53,0.5,0.52,836448,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-04
0.51,0.53,0.5,0.51,847302,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-07
0.52,0.53,0.5,0.52,717916,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-08
0.53,0.56,0.52,0.52,2022814,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-09
0.52,0.56,0.52,0.55,888240,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-10
0.56,0.59,0.55,0.57,907724,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-11
0.58,0.62,0.55,0.57,1653522,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-14
0.58,0.59,0.56,0.57,563155,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-15
0.56,0.58,0.53,0.53,655930,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-16
0.54,0.57,0.51,0.52,1456292,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-17
0.53,0.58,0.53,0.54,964063,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-18
0.54,0.54,0.52,0.52,1298208,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-21
0.54,0.56,0.52,0.54,696117,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-22
0.56,0.69,0.54,0.59,7830514,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-23
0.59,0.59,0.53,0.54,1150165,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-24
0.54,0.63,0.53,0.56,4378642,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-28
0.56,0.57,0.52,0.53,1782171,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-29
0.53,0.54,0.52,0.53,847081,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-30
0.52,0.55,0.48,0.48,2930721,0.0,0.0,GEN,Gen Digital,Information Technology,Systems Software,2020-12-31
