Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
35.1,35.1,34.18,34.25,5860338,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-10-26
34.31,34.45,32.62,32.85,8867704,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-10-27
32.11,32.55,31.62,31.73,6692200,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-10-28
31.68,32.43,31.45,32.1,4398880,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-10-29
31.91,32.12,31.28,31.97,4532328,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-10-30
32.32,32.79,32.02,32.47,3637936,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-02
32.99,33.89,32.99,33.67,3016049,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-03
33.48,34.33,32.91,33.56,3987184,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-04
34.22,34.84,34.14,34.49,3717469,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-05
34.47,34.84,34.39,34.71,2796555,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-06
36.31,37.08,35.63,35.68,7048834,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-09
35.91,36.21,35.65,36.02,4871155,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-10
36.3,36.32,35.75,35.98,2653038,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-11
35.63,35.7,34.57,34.91,3491258,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-12
35.3,36.01,35.24,35.83,2553550,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-13
36.45,37.13,36.06,36.98,4169673,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-16
36.63,36.83,36.26,36.48,2897576,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-17
36.6,36.66,36.09,36.09,2787006,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-18
35.83,36.44,35.66,36.33,2373697,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-19
36.25,36.55,36.02,36.3,2935541,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-20
36.54,36.84,36.3,36.63,2032570,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-23
37.0,37.58,36.93,37.5,4375422,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-24
37.47,37.52,37.08,37.3,1887623,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-25
37.3,37.6,37.05,37.09,1416197,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-27
37.09,37.42,36.66,37.42,5390327,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-11-30
37.79,37.91,37.22,37.38,3736179,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-01
37.3,37.94,37.24,37.8,3886001,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-02
37.33,37.7,37.04,37.12,4113928,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-03
37.19,37.95,37.12,37.95,3600508,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-04
37.78,37.83,37.34,37.58,2738717,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-07
37.42,37.98,37.37,37.93,2933046,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-08
38.0,38.44,37.62,37.66,4078900,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-09
37.58,37.58,36.87,37.17,4193838,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-10
36.29,36.55,35.45,35.64,6384182,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-11
36.96,37.42,36.55,36.81,5949790,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-14
36.99,37.11,36.3,37.02,4477300,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-15
37.06,37.1,36.01,36.24,4629485,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-16
36.5,36.6,36.24,36.59,4262370,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-17
36.61,36.65,35.84,36.24,7643108,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-18
35.66,36.04,35.03,35.95,5554537,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-21
36.21,36.45,35.91,36.07,3387343,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-22
36.35,36.72,36.2,36.35,4238619,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-23
36.5,36.59,35.95,36.27,1190703,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-24
36.46,36.65,36.15,36.19,1783285,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-28
36.38,36.38,35.51,35.64,1916232,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-29
35.8,36.16,35.75,35.97,2288600,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-30
36.0,36.06,35.63,36.0,3608090,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2020-12-31
36.05,36.23,34.8,34.92,5125985,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-04
34.96,35.85,34.91,35.67,4812607,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-05
36.2,37.56,36.0,36.9,5543619,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-06
37.26,37.46,36.71,36.98,4551420,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-07
37.13,37.23,36.56,36.95,4183266,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-08
36.55,37.61,36.4,37.54,5694305,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-11
37.7,38.04,37.29,37.46,3936720,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-12
37.4,37.46,37.02,37.17,2801855,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-13
37.87,38.75,37.48,38.03,5335648,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-14
37.76,38.03,37.2,37.8,5159967,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-15
38.22,38.73,38.11,38.53,4099590,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-19
38.57,38.84,38.12,38.45,3282058,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-20
38.5,38.6,37.94,37.94,2873167,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-21
37.5,37.84,37.28,37.6,4365803,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-22
37.74,38.52,37.55,38.46,4850050,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-25
38.74,38.75,37.12,37.17,5668852,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-26
36.15,36.96,35.03,35.23,9118225,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-27
36.08,36.9,35.93,36.44,5580474,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-28
36.2,36.47,35.55,35.87,5624007,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-01-29
36.16,36.39,35.6,35.9,3516861,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-02-01
36.42,36.69,36.03,36.33,4415660,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-02-02
36.12,36.59,35.61,36.34,4002364,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-02-03
36.7,37.38,36.56,37.28,3696038,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-02-04
37.46,37.68,37.35,37.42,2273119,0.0,0.0,GLW,Corning Inc.,Information Technology,Electronic Components,2021-02-05
