Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
80.75,81.48,78.39,79.21,35188340,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-10-26
79.45,80.1,78.85,79.94,25864360,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-10-27
77.5,77.69,75.42,75.54,45171840,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-10-28
75.85,79.44,75.83,77.84,55406860,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-10-29
83.37,84.07,80.08,80.81,99908540,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-10-30
81.18,82.91,80.71,81.22,44228980,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-02
81.54,82.95,80.61,82.28,31431760,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-03
85.28,88.5,85.15,87.29,71342980,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-04
88.52,89.59,87.05,88.12,39758140,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-05
87.57,88.42,86.83,87.99,28621680,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-06
89.8,90.84,87.88,88.07,53440480,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-09
86.49,87.97,85.81,86.89,43021160,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-10
87.42,88.14,87.15,87.36,31838120,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-11
87.1,88.25,86.9,87.14,26487260,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-12
87.4,88.86,86.8,88.61,29697540,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-13
88.21,89.72,88.07,88.7,25467860,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-16
88.39,88.86,87.97,88.08,21320680,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-17
87.83,88.25,86.93,87.03,20107540,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-18
86.66,88.17,86.5,87.93,20106800,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-19
88.1,88.42,86.75,86.82,27706440,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-20
87.01,87.3,85.51,86.38,22552360,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-23
86.38,88.32,86.04,88.2,27242320,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-24
88.39,88.52,87.42,88.21,19599140,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-25
88.23,89.85,88.23,89.35,14790140,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-27
88.78,89.02,87.39,87.72,32417740,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-11-30
88.33,91.09,88.15,89.77,37362680,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-01
89.77,91.64,89.26,91.25,29424700,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-02
91.03,92.19,90.85,91.09,24712320,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-03
91.01,91.48,90.68,91.19,20544840,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-04
90.78,91.46,90.15,90.85,22287820,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-07
90.43,90.8,89.56,90.57,19935360,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-08
90.52,91.42,88.1,88.89,31728520,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-09
88.13,88.75,86.68,88.38,28574320,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-10
88.0,88.87,87.64,88.74,18628620,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-11
88.54,89.49,87.46,87.61,33049420,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-14
87.99,88.2,87.08,88.05,21065840,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-15
88.46,88.46,87.45,87.86,24676720,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-16
88.2,88.34,86.56,87.03,34880100,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-17
87.31,87.42,85.75,86.31,82556740,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-18
85.46,86.85,84.7,86.73,33974140,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-21
86.47,86.63,85.29,86.01,20376580,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-22
86.2,87.21,86.06,86.41,22973680,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-23
86.45,87.12,86.22,86.71,9312760,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-24
87.25,89.35,87.09,88.7,27650740,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-28
89.36,89.42,87.76,87.89,19725740,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-29
88.25,88.39,86.4,86.81,21026160,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-30
86.86,87.88,86.8,87.63,21069580,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2020-12-31
88.0,88.12,85.36,86.31,37323900,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-04
86.25,87.34,85.84,87.0,20359240,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-05
85.01,87.2,84.81,86.14,46588020,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-06
86.34,88.89,86.34,88.72,41936580,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-07
88.86,89.97,88.06,89.89,35484520,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-08
88.85,89.22,87.61,87.81,34812360,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-11
87.27,88.4,85.82,86.87,29534300,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-12
86.37,87.82,86.37,87.36,23431500,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-13
87.44,88.38,86.3,86.55,29212340,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-14
86.45,87.38,85.59,86.38,31444280,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-15
87.15,90.19,86.64,89.22,41659020,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-19
91.32,94.99,90.98,94.0,64151400,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-20
94.68,96.6,93.97,94.21,58659460,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-21
94.57,95.22,93.82,94.63,32663400,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-22
95.64,96.09,92.96,94.71,50586920,0.0,0.0,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2021-01-25
