Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
13.04,13.07,12.72,12.79,16719657,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-10-26
12.71,12.75,12.38,12.51,11964527,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-10-27
11.96,12.11,11.42,11.42,18439332,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-10-28
11.25,11.92,10.99,11.62,15273212,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-10-29
11.58,12.09,11.48,12.06,16264592,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-10-30
12.35,12.99,11.98,12.8,16009276,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-02
13.13,13.26,12.76,12.99,13336484,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-03
12.96,13.25,12.37,12.71,19217934,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-04
12.69,13.03,12.55,12.57,12071381,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-05
12.5,12.79,12.26,12.28,10972339,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-06
14.2,15.12,14.1,14.38,26169116,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-09
14.23,14.69,13.85,14.38,14936782,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-10
14.57,14.59,13.87,14.18,9158246,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-11
13.9,14.31,13.78,13.92,9994958,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-12
14.02,14.43,13.87,14.33,9935338,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-13
15.04,15.57,14.8,15.46,13109088,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-16
15.09,15.84,14.96,15.81,10581051,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-17
15.85,16.28,15.38,15.39,13074420,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-18
15.21,16.08,15.04,16.0,12236935,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-19
15.92,16.07,15.57,15.9,8000063,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-20
16.26,17.49,16.15,17.32,17996842,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-23
18.0,18.28,17.72,17.91,16164941,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-24
17.5,17.94,17.4,17.86,11180168,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-25
17.66,17.97,17.47,17.56,4548163,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-27
17.36,17.55,16.56,16.59,15906693,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-11-30
17.24,17.36,16.82,17.08,9741987,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-01
16.9,18.08,16.78,17.61,9818831,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-02
17.79,18.31,17.51,18.02,11805415,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-03
18.61,19.53,18.42,19.43,15135964,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-04
19.41,19.59,18.86,18.97,12526816,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-07
18.55,19.81,18.53,19.76,12350601,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-08
19.83,20.36,19.27,19.51,17224964,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-09
19.0,20.31,18.92,19.99,11847880,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-10
19.75,20.0,19.4,19.83,10631585,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-11
20.13,20.24,18.83,18.96,11968980,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-14
19.35,20.15,19.24,20.07,15989734,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-15
20.01,20.54,19.87,20.14,13489158,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-16
20.34,20.5,19.78,20.08,9641192,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-17
20.0,20.29,19.56,19.68,17085761,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-18
18.82,19.6,18.58,19.35,8938774,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-21
19.36,19.52,19.07,19.12,6548942,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-22
19.28,19.98,19.23,19.48,9396558,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-23
19.57,19.59,18.99,19.21,2895541,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-24
19.25,19.59,18.85,18.89,6644879,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-28
19.0,19.05,18.33,18.64,9980127,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-29
18.64,19.18,18.56,19.12,7876195,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-30
19.03,19.12,18.83,18.9,7024696,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2020-12-31
19.22,19.47,18.57,18.83,9058773,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-04
19.17,20.99,19.01,20.41,16058620,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-05
20.93,21.04,20.51,20.82,16403301,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-06
20.97,21.21,20.2,20.35,13806312,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-07
20.68,20.68,19.87,20.12,8436881,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-08
19.38,20.69,19.27,20.57,11590013,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-11
20.89,22.23,20.67,22.13,15948456,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-12
21.97,21.99,21.39,21.57,10806585,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-13
21.63,22.19,21.56,21.76,10324158,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-14
21.29,21.45,20.44,20.74,12660953,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-15
21.11,21.35,20.3,20.54,16955427,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-19
21.39,21.39,19.81,20.08,13603058,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-20
19.97,20.39,19.23,19.41,12224615,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-21
18.9,19.29,18.45,19.24,14419506,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-22
18.99,19.14,18.24,18.63,12807669,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-25
18.88,19.12,18.2,18.2,10080656,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-26
17.72,18.23,17.23,17.28,16350636,0.0,0.0,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,2021-01-27
