Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
87.02,87.9,82.25,83.4,3951220,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-10-26
84.09,86.4,82.67,85.1,2330374,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-10-27
83.65,84.55,81.72,84.04,1717016,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-10-28
83.41,84.87,82.2,83.87,1015989,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-10-29
82.7,83.44,81.69,82.72,1198619,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-10-30
83.53,84.1,82.01,82.4,839741,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-02
83.66,85.33,82.34,84.71,755213,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-03
84.1,84.64,82.23,82.38,839288,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-04
83.96,84.49,83.02,84.1,818847,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-05
84.48,85.46,83.18,84.34,588929,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-06
88.08,88.73,85.06,85.4,1742682,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-09
85.72,87.22,84.75,85.65,947819,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-10
86.33,87.43,85.65,86.53,981927,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-11
86.38,86.38,83.34,84.22,701143,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-12
84.83,88.67,84.82,87.72,1152514,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-13
89.86,90.94,87.78,90.89,891913,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-16
90.48,92.47,89.27,91.89,641809,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-17
91.94,94.3,90.99,92.08,1032309,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-18
91.67,92.56,90.24,91.75,628290,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-19
91.47,93.4,90.74,93.02,832960,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-20
93.22,93.74,91.88,92.62,679451,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-23
93.44,94.0,91.81,92.1,1144678,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-24
91.55,92.34,90.9,92.14,587620,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-25
91.89,93.2,91.49,92.32,227885,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-27
92.01,93.25,90.69,93.03,1223378,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-11-30
94.34,97.13,93.8,96.19,1913996,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-01
94.77,94.97,91.3,93.93,1192135,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-02
93.9,95.22,92.36,92.66,907267,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-03
92.9,93.71,90.92,91.07,1477757,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-04
90.67,90.99,89.4,89.57,1079277,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-07
89.02,91.11,88.84,89.72,701951,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-08
91.05,91.54,88.43,88.76,1367049,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-09
88.18,89.28,87.7,88.68,783709,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-10
88.18,89.5,87.52,89.0,889462,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-11
90.17,91.32,89.49,90.11,682729,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-14
90.88,92.76,89.14,92.25,1015900,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-15
92.2,95.56,92.0,94.76,1485691,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-16
94.76,96.07,93.03,93.21,934541,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-17
93.75,94.3,92.0,93.81,1873729,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-18
92.65,94.8,91.33,93.6,1095548,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-21
93.69,94.24,92.25,92.38,583536,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-22
92.99,93.44,91.84,92.75,671640,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-23
93.22,93.34,92.01,93.15,201042,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-24
93.51,94.15,92.83,93.34,476050,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-28
93.78,93.8,92.21,93.38,459575,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-29
93.31,94.84,93.0,94.0,507406,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-30
93.75,94.19,92.8,93.54,559168,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2020-12-31
93.74,93.74,90.39,91.96,989975,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-04
92.21,94.27,92.0,93.18,537713,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-05
93.0,95.48,93.0,94.49,693673,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-06
95.43,95.59,94.25,94.79,646860,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-07
95.26,97.53,95.01,97.26,909050,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-08
96.5,97.93,96.13,96.85,578099,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-11
97.0,99.63,96.52,99.12,843629,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-12
98.72,99.6,98.23,99.25,641051,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-13
99.54,101.24,98.99,99.21,1059032,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-14
98.42,98.56,96.18,97.2,1018105,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-15
97.58,97.68,94.76,96.29,769292,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-19
95.91,96.67,94.12,94.74,664921,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-20
94.89,97.95,94.31,97.0,706539,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-21
96.78,97.76,95.48,97.48,437886,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-22
97.47,98.45,95.32,95.83,638000,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-25
96.85,96.85,93.07,95.19,1081450,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-26
94.24,95.34,91.26,93.29,1162706,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-27
93.88,95.62,93.36,95.14,1059909,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-28
94.26,95.32,93.02,93.82,726695,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-01-29
93.75,94.54,92.75,94.36,418807,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-01
94.96,96.48,94.05,95.49,757016,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-02
95.67,96.94,94.63,96.5,645169,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-03
96.44,97.85,96.0,96.87,633941,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-04
97.38,98.46,96.03,97.28,1244381,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-05
99.61,99.68,92.41,93.15,2631668,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-08
92.95,93.3,90.59,90.74,1355542,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-09
90.84,93.49,89.75,92.29,1447600,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-10
92.1,92.61,90.16,90.65,1068708,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-11
90.55,91.54,90.25,91.48,717327,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-12
91.6,92.6,89.38,89.43,894937,0.0,0.0,HAS,Hasbro,Consumer Discretionary,Leisure Products,2021-02-16
