Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
10.36,10.4,10.15,10.28,7800253,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-10-26
10.22,10.25,9.93,9.94,6038757,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-10-27
9.75,9.99,9.68,9.83,10299383,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-10-28
9.8,10.21,9.66,10.14,7523658,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-10-29
10.07,10.45,10.03,10.44,8822412,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-10-30
10.6,10.91,10.37,10.81,10387826,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-02
11.02,11.16,10.93,11.09,9123170,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-03
10.66,10.66,10.06,10.08,15944298,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-04
10.13,10.64,10.11,10.57,7109727,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-05
10.68,10.68,10.07,10.15,8503267,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-06
11.02,12.23,11.02,11.95,21582982,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-09
12.0,12.34,11.79,12.13,17185192,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-10
12.13,12.13,11.51,11.64,8137570,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-11
11.45,11.52,11.11,11.29,7497175,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-12
11.45,11.72,11.39,11.59,6282695,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-13
12.11,12.32,11.92,12.03,6532322,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-16
11.73,12.04,11.64,12.02,5404011,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-17
12.16,12.25,11.87,11.87,6340651,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-18
11.76,11.96,11.58,11.95,5199005,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-19
11.87,11.92,11.7,11.75,4464762,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-20
11.98,12.21,11.92,12.18,6964323,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-23
12.47,12.96,12.4,12.93,10933722,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-24
12.7,12.8,12.49,12.69,7493397,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-25
12.76,12.76,12.37,12.46,3931235,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-27
12.4,12.52,12.04,12.08,12364215,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-11-30
12.51,12.6,12.34,12.5,7614523,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-01
12.38,12.88,12.31,12.83,9595406,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-02
12.89,13.09,12.75,12.98,7935157,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-03
13.08,13.2,13.02,13.11,8011254,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-04
13.02,13.04,12.8,13.01,5532456,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-07
12.83,13.04,12.81,12.9,8084324,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-08
13.0,13.22,12.83,12.91,9150500,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-09
12.75,13.05,12.63,13.03,8178218,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-10
12.84,13.0,12.78,12.93,8445762,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-11
12.9,12.95,12.15,12.51,36739555,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-14
12.7,12.71,12.36,12.59,15842956,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-15
12.6,12.65,12.38,12.52,13832948,0.0,0.0,HBAN,Huntington Bancshares,Financials,Regional Banks,2020-12-16
