Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
39.98,40.07,38.52,39.0,2872264,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-10-26
39.0,39.1,37.44,37.56,2569733,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-10-27
36.87,37.79,36.62,37.35,3035311,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-10-28
37.29,38.85,36.76,38.69,2992026,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-10-29
38.11,39.71,37.99,38.52,3761599,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-10-30
39.37,39.62,38.43,39.34,2628850,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-02
39.95,40.4,39.47,39.52,2677016,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-03
38.76,39.32,37.87,38.21,2944073,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-04
38.78,40.45,38.66,39.94,2933305,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-05
40.17,40.55,39.3,39.4,2687522,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-06
43.29,46.34,43.29,44.87,4500197,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-09
45.16,46.27,44.81,45.82,2425465,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-10
45.94,45.94,44.6,45.21,1400069,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-11
44.46,45.3,44.11,44.73,1697143,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-12
45.19,45.88,44.76,45.21,1900624,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-13
46.95,47.05,45.84,46.34,1924886,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-16
45.81,46.83,45.22,46.43,1501547,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-17
46.43,47.2,45.87,45.88,1291642,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-18
45.39,46.35,44.71,46.24,2047137,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-19
45.77,46.32,45.34,45.77,1514251,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-20
46.51,46.61,45.78,46.34,1370882,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-23
47.25,47.98,46.36,47.53,2247151,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-24
47.29,47.29,46.33,46.58,2303061,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-25
46.52,46.58,45.74,45.83,1137762,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-27
45.0,45.42,43.93,44.2,7722340,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-11-30
45.32,45.65,44.84,45.43,2885101,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-01
45.07,45.55,44.72,45.46,2690049,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-02
45.4,46.27,45.11,45.84,1499516,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-03
46.15,46.85,46.15,46.49,2763242,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-04
46.15,46.35,45.42,45.54,1513379,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-07
44.83,46.31,44.76,46.2,1935117,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-08
46.66,47.78,46.34,47.57,3948066,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-09
47.09,47.83,46.55,47.4,1869360,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-10
46.84,47.26,46.23,46.24,1353215,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-11
46.76,46.95,45.52,45.54,1669173,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-14
46.05,46.15,44.96,45.75,3193395,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-15
45.99,46.54,45.62,46.29,2538213,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-16
46.25,46.92,45.97,46.78,2224912,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-17
46.69,47.75,46.65,47.65,6405188,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-18
47.43,47.62,46.51,47.5,3529377,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-21
47.53,47.78,47.36,47.64,2495531,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-22
47.95,48.75,47.95,48.27,1575524,0.0,0.0,HIG,Hartford (The),Financials,Property & Casualty Insurance,2020-12-23
