Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
151.45,151.77,148.86,149.71,345172,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-10-26
148.81,149.23,146.18,146.51,286977,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-10-27
144.05,146.38,140.93,141.46,357543,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-10-28
140.56,143.47,138.8,142.97,327507,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-10-29
142.64,147.66,142.64,147.48,304007,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-10-30
149.43,152.12,147.32,149.5,400807,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-02
152.28,158.0,151.6,156.9,396688,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-03
157.89,158.74,150.66,150.72,573232,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-04
151.99,159.45,148.85,151.81,802898,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-05
151.5,154.82,151.5,152.72,326434,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-06
160.0,164.69,155.24,155.97,643761,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-09
157.2,164.4,157.14,161.54,494820,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-10
161.53,162.1,157.92,158.04,451691,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-11
157.16,159.48,156.06,158.53,317867,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-12
160.14,165.19,159.58,164.01,380892,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-13
165.27,166.73,162.67,163.26,497947,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-16
162.01,165.27,161.56,162.82,317053,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-17
164.74,165.08,163.0,163.02,261446,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-18
162.26,163.4,160.69,162.21,280621,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-19
162.2,162.92,157.71,158.74,535879,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-20
160.1,165.26,160.0,165.11,427279,0.0,0.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2020-11-23
