Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
38.0,40.25,33.35,34.82,102474737,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-07-29
34.93,36.98,33.25,35.15,40632228,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-07-30
35.97,37.98,35.3,37.68,19948534,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-02
37.91,48.59,37.16,46.8,93819198,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-03
54.45,85.0,54.4,70.39,175790537,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-04
62.9,66.5,50.46,50.97,82445402,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-05
57.77,60.88,53.1,55.01,70131720,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-06
59.08,59.96,56.0,56.83,27495240,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-09
56.49,58.49,53.5,53.94,17066352,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-10
54.57,54.61,49.0,51.19,15893137,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-11
50.12,50.39,47.52,48.1,13426242,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-12
48.45,53.2,48.22,50.63,25659808,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-13
49.4,49.79,47.0,47.19,12052503,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-16
47.3,48.85,46.01,46.67,9160299,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-17
47.97,52.06,47.2,49.8,24407995,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-18
45.06,46.88,44.14,44.69,18517574,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-19
45.2,45.56,42.44,42.64,11764299,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-20
44.16,46.85,43.32,45.29,15664716,0.0,0.0,HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,2021-08-23
