Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
9.36,9.4,8.96,9.06,13835223,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-26
9.0,9.04,8.79,8.8,12539682,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-27
8.57,8.68,8.36,8.37,13203658,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-28
8.36,8.6,8.28,8.53,13079932,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-29
8.44,8.65,8.4,8.64,12176868,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-10-30
8.79,8.97,8.64,8.91,11173847,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-02
9.04,9.34,9.02,9.32,12854892,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-03
9.29,9.29,8.82,8.82,21622586,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-04
8.98,9.37,8.96,9.28,11311388,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-05
9.25,9.35,9.09,9.19,10345219,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-06
9.55,9.96,9.49,9.73,20215832,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-09
9.77,10.0,9.75,9.91,15028384,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-10
9.92,9.95,9.7,9.95,10594547,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-11
9.89,9.91,9.53,9.67,14418962,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-12
9.77,10.18,9.73,10.14,10759401,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-13
10.48,10.72,10.33,10.63,14210494,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-16
10.44,10.53,10.25,10.48,8442741,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-17
10.53,10.82,10.49,10.5,9286901,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-18
10.47,10.56,10.35,10.49,9617517,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-19
10.48,10.5,10.34,10.47,7933656,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-20
10.59,11.1,10.5,11.07,10343639,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-23
11.24,11.68,11.14,11.53,12558055,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-24
11.44,11.47,11.18,11.24,10366822,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-25
11.2,11.42,11.05,11.22,5332882,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-27
11.28,11.39,10.94,11.04,18782436,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-11-30
11.14,11.4,11.0,11.2,17458898,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-01
11.11,11.52,11.0,11.52,21184057,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-02
11.52,11.84,11.37,11.61,13979598,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-03
11.71,12.34,11.69,12.34,12942457,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-04
12.18,12.3,11.96,12.08,9231340,0.0,0.0,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2020-12-07
