Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
145.89,145.89,143.18,144.2,620897,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-10-26
144.62,144.87,142.36,142.5,829933,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-10-27
140.62,141.84,138.12,138.2,868001,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-10-28
137.91,139.46,136.48,137.83,718059,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-10-29
137.13,138.21,135.83,137.46,791737,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-10-30
139.66,142.0,139.18,140.78,1278911,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-02
141.82,144.56,141.76,142.72,574561,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-03
143.8,146.59,143.12,143.94,992053,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-04
145.58,146.28,143.85,144.6,933140,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-05
148.9,150.73,146.81,149.4,1369813,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-06
152.57,154.49,149.61,149.72,1194098,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-09
150.18,153.56,149.46,152.26,996661,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-10
152.93,153.83,151.55,153.66,704528,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-11
153.99,154.18,151.9,153.56,593070,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-12
154.07,154.32,152.24,154.0,589263,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-13
154.95,155.49,153.79,155.12,791321,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-16
154.52,154.97,152.6,152.93,706408,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-17
153.51,154.39,150.56,150.64,686861,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-18
149.08,149.91,147.64,149.4,669110,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-19
149.09,149.36,147.03,147.78,621695,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-20
147.48,148.35,146.31,146.83,664618,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-23
147.6,148.87,147.12,148.21,2268488,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-24
148.42,149.33,147.8,148.15,1569455,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-25
148.44,148.45,146.4,148.05,1252908,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-27
147.4,148.03,146.23,147.89,1516889,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-11-30
149.0,150.13,148.09,150.04,1332609,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-01
150.04,151.79,148.44,149.25,1103252,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-02
149.0,150.19,148.88,149.83,727129,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-03
150.0,151.1,149.88,150.87,1010648,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-04
151.8,152.71,148.68,149.72,901832,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-07
149.1,151.7,148.84,150.63,823362,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-08
150.45,152.7,149.1,152.14,1184945,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-09
152.33,152.81,149.68,149.7,907438,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-10
148.99,150.2,148.98,149.11,617839,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-11
149.57,151.58,149.04,149.14,586810,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-14
149.51,150.82,149.22,150.23,704010,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-15
150.16,151.67,149.47,150.28,748821,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-16
151.1,152.78,150.35,151.61,805582,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-17
151.89,152.35,150.13,150.88,1828820,0.0,0.0,HSY,Hershey Company (The),Consumer Staples,Packaged Foods & Meats,2020-12-18
