Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
18.56,18.62,18.0,18.28,1971488,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-10-26
18.12,18.24,17.46,17.53,1938173,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-10-27
17.01,17.22,16.59,16.68,2500570,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-10-28
16.66,17.34,16.57,17.21,2087142,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-10-29
17.14,17.3,16.84,17.25,2745128,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-10-30
17.54,17.97,17.34,17.85,2260743,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-02
18.26,18.75,18.07,18.63,3002854,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-03
18.39,18.7,17.93,18.17,1896013,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-04
18.38,19.11,18.05,18.84,4727057,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-05
18.84,19.06,18.67,18.85,2847040,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-06
20.08,24.46,20.0,22.43,9927077,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-09
22.55,24.14,22.45,23.0,7706061,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-10
23.89,23.89,22.06,22.28,4958093,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-11
21.83,22.1,21.15,21.44,4751729,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-12
21.84,22.55,21.83,22.36,3401790,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-13
23.44,23.94,22.88,23.18,6422363,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-16
22.73,23.65,22.71,23.5,4120899,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-17
23.9,24.02,23.17,23.19,4491145,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-18
22.94,23.62,22.68,23.57,4378574,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-19
23.48,23.96,23.31,23.95,4990847,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-20
24.29,24.7,24.05,24.32,4451414,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-23
25.0,25.4,24.75,25.24,4098404,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-24
24.75,25.36,24.45,24.55,4593826,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-25
24.62,24.79,24.32,24.6,1795045,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-27
24.36,24.56,23.43,23.46,6994794,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-11-30
24.34,24.54,23.67,23.77,6364383,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-12-01
23.61,24.35,23.52,24.26,3365383,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-12-02
24.27,25.52,24.26,25.05,6175670,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-12-03
25.35,25.65,25.19,25.37,5259503,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-12-04
25.37,25.8,25.12,25.58,2854975,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-12-07
25.23,25.51,24.91,25.45,2404946,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-12-08
25.56,25.82,25.08,25.45,2494501,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-12-09
25.14,26.44,25.14,26.13,3460891,0.0,0.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,2020-12-10
