Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
12.26,12.26,11.91,12.07,1519776,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-10-26
12.0,12.14,11.99,12.01,1221196,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-10-27
11.84,12.1,11.74,12.02,2841988,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-10-28
11.83,12.06,11.76,11.94,1643732,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-10-29
11.87,11.96,11.68,11.89,2012308,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-10-30
11.98,12.31,11.86,11.96,2439256,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-02
12.11,12.31,12.08,12.19,1857724,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-03
12.13,12.22,11.88,12.07,1534080,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-04
12.08,12.39,12.08,12.31,1605088,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-05
12.36,12.36,12.14,12.18,1166920,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-06
12.64,12.87,12.27,12.37,2588492,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-09
12.36,12.75,12.23,12.74,2612300,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-10
12.71,12.95,12.7,12.88,2148296,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-11
12.78,12.96,12.6,12.94,2685844,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-12
12.98,13.42,12.93,13.4,3020692,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-13
13.5,13.74,13.32,13.67,2671456,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-16
13.55,13.94,13.47,13.81,2617724,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-17
13.91,13.91,13.15,13.19,2809996,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-18
13.24,13.42,13.16,13.35,1648872,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-19
13.36,13.41,13.19,13.24,5377168,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-20
13.27,13.48,13.14,13.16,2296464,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-23
13.22,13.29,13.03,13.19,2314360,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-24
13.2,13.23,13.09,13.16,1737756,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-25
13.16,13.66,13.02,13.53,1845736,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-27
13.5,13.53,13.04,13.19,3544600,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-11-30
13.41,13.65,13.28,13.5,4195468,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-01
13.66,13.85,13.47,13.7,2760424,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-02
13.74,13.74,13.59,13.68,1944588,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-03
13.76,13.97,13.68,13.77,1787076,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-04
13.56,13.72,13.26,13.37,3834668,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-07
13.3,13.54,13.23,13.54,3305392,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-08
13.74,14.1,13.55,13.93,2999304,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-09
13.83,14.0,13.68,13.98,2779192,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-10
13.9,13.91,13.57,13.77,1611672,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-11
13.9,13.96,13.5,13.6,2890600,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-14
13.78,14.18,13.65,14.18,2913236,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-15
14.23,14.58,14.14,14.56,2301100,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-16
14.65,15.05,14.52,15.04,3736924,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-17
15.07,15.09,14.7,14.79,8962108,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-18
14.68,14.73,14.31,14.73,2422892,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-21
14.75,15.2,14.67,15.11,3004876,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-22
15.06,15.34,15.05,15.22,2534488,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-23
15.3,15.3,15.1,15.27,1014160,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-24
15.4,15.62,15.34,15.58,2382980,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-28
15.66,15.74,15.26,15.39,2954476,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-29
15.41,15.49,15.02,15.03,2058916,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-30
15.07,15.3,14.94,15.23,1351664,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2020-12-31
15.37,15.5,15.0,15.31,2736784,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-04
15.33,15.84,15.27,15.79,4375684,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-05
15.85,17.13,15.84,16.73,7665744,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-06
16.89,17.66,16.77,17.3,6076420,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-07
17.33,17.97,17.25,17.47,4040884,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-08
17.29,17.32,16.98,17.21,2581800,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-11
17.38,17.44,17.22,17.35,2971616,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-12
17.34,17.66,17.31,17.4,2629188,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-13
17.57,17.61,17.14,17.18,2054956,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-14
17.07,17.37,16.81,17.26,2531908,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-15
17.38,17.73,17.22,17.42,4898320,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-19
17.48,17.55,16.84,17.02,4699648,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-20
16.98,17.3,16.76,17.28,3190496,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-21
17.03,17.46,17.03,17.21,3082744,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-22
17.47,17.5,16.66,16.88,4979032,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-25
16.78,16.92,16.23,16.48,3862660,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-26
16.14,16.25,15.71,15.78,6227484,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-27
15.87,16.01,15.53,15.88,6026348,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-28
15.82,15.96,14.77,15.3,11842644,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-01-29
15.48,16.54,15.37,16.38,10354800,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-01
16.71,17.48,16.45,17.08,6559132,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-02
17.02,17.24,16.87,17.21,5122916,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-03
17.32,17.44,17.07,17.42,2138904,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-04
17.43,18.14,17.32,17.98,4919500,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-05
18.11,18.11,17.57,18.0,3462332,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-08
18.05,18.47,17.89,18.2,3162728,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-09
18.24,18.36,17.87,17.97,2259032,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-10
17.9,18.0,17.56,17.86,2578044,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-11
17.68,18.22,17.68,18.17,1883916,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-12
18.24,18.97,18.15,18.66,3027588,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-16
18.57,18.64,18.08,18.56,2336688,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-17
18.31,18.76,18.31,18.64,2170020,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-18
18.96,19.04,18.49,18.63,3074444,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-19
18.64,18.72,18.31,18.38,1944884,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-22
18.18,18.24,17.7,18.12,2966196,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-23
18.2,18.8,18.06,18.79,2393356,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-24
18.92,19.17,18.45,18.52,2703812,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-25
18.43,18.6,17.66,18.1,4302000,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-02-26
18.48,19.41,18.4,19.19,3900092,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-01
19.14,19.39,18.68,18.94,3258196,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-02
18.97,19.38,18.69,19.01,3611568,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-03
19.0,19.08,18.29,18.7,4248888,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-04
19.04,19.15,17.87,18.8,3907520,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-05
18.96,19.24,18.74,18.96,1962228,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-08
19.16,19.9,18.88,19.72,4118816,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-09
19.99,20.14,19.48,19.6,2779408,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-10
19.64,19.89,19.34,19.7,1653808,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-11
19.77,19.88,19.49,19.72,1982212,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-12
19.84,19.84,19.35,19.66,1965996,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-15
19.68,19.74,19.03,19.18,2980524,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-16
19.14,19.6,19.08,19.37,2502296,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-17
19.38,19.75,19.3,19.51,2332952,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-18
19.48,19.78,19.28,19.61,3334076,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-19
19.55,19.88,19.36,19.5,3892196,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-22
19.45,19.63,18.98,19.06,1895472,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-23
19.12,19.43,18.61,18.66,5691704,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-24
18.52,18.64,17.91,18.45,4866800,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-25
18.72,18.75,18.08,18.25,5031652,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-26
18.07,18.24,17.81,18.13,5147836,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-29
18.2,18.29,17.9,18.08,2538720,0.0,0.0,IBKR,Interactive Brokers,Financials,Investment Banking & Brokerage,2021-03-30
