Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
98.05,98.25,97.18,97.76,2575356,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-10-26
97.96,98.64,97.48,97.56,1944877,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-10-27
95.85,96.11,93.64,93.77,3215040,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-10-28
93.36,96.33,92.41,95.7,3861828,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-10-29
94.95,95.87,93.36,94.4,3553538,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-10-30
95.87,97.34,93.97,94.66,3057176,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-02
95.96,97.86,95.3,96.06,2278822,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-03
97.53,100.63,96.57,98.36,3027353,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-04
101.91,102.32,100.44,100.96,6360414,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-05
101.19,101.49,98.57,100.66,2571585,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-06
105.04,105.04,97.9,98.22,5302693,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-09
98.02,98.31,96.14,98.0,3599546,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-10
99.08,100.86,99.07,99.98,2382050,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-11
99.78,99.78,97.58,98.31,2126227,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-12
98.72,99.68,98.4,99.35,1467897,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-13
100.14,100.36,98.9,99.71,2038889,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-16
99.29,100.47,98.75,100.03,2089700,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-17
99.88,100.68,99.22,99.46,1985099,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-18
101.0,101.76,99.52,100.9,2335440,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-19
100.89,101.79,100.89,101.06,3723206,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-20
101.5,103.15,101.27,102.36,2163116,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-23
102.61,103.96,102.1,103.07,2496522,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-24
103.45,104.13,102.5,103.93,1957084,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-25
104.13,105.03,103.95,104.99,1593279,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-27
104.97,105.65,104.55,105.51,4169969,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-11-30
106.21,107.37,105.64,107.16,4525383,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-12-01
106.84,107.21,105.65,106.56,2650326,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-12-02
106.39,108.04,105.76,107.46,4263507,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-12-03
108.03,109.85,108.03,109.23,2412407,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-12-04
109.18,110.61,109.04,110.28,2323165,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-12-07
110.01,110.4,109.2,110.06,2476536,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-12-08
109.84,110.71,109.05,110.17,2241796,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-12-09
109.78,110.38,108.82,109.24,2219805,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-12-10
108.81,109.72,108.12,108.82,2012587,0.0,0.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2020-12-11
