Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
190.16,190.49,186.84,190.08,300979,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-26
189.37,190.1,185.95,186.0,528997,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-27
176.54,180.0,172.29,172.57,1131581,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-28
172.73,173.73,167.73,168.73,1172268,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-29
169.17,170.41,166.51,170.39,686651,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-10-30
172.97,178.84,172.45,178.76,652819,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-02
180.99,184.27,178.83,180.42,509480,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-03
182.01,182.01,176.85,176.9,324892,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-04
179.51,181.74,176.97,177.77,507941,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-05
177.41,183.51,176.62,183.02,443185,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-06
191.38,196.56,187.6,187.81,725213,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-09
188.92,197.5,187.39,195.96,708065,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-10
196.22,196.22,190.6,191.44,442721,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-11
190.54,191.01,186.73,189.04,426368,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-12
190.78,193.87,189.42,193.17,377099,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-13
195.61,197.48,193.6,197.26,376145,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-16
196.41,197.85,194.12,197.19,366536,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-17
196.63,199.5,195.16,197.46,488090,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-18
196.9,197.61,194.17,196.07,277115,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-19
195.92,195.92,192.49,193.97,418772,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-20
195.0,195.64,192.76,193.38,413424,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-23
194.64,195.94,192.61,194.49,490221,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-24
194.78,194.78,189.89,191.67,518629,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-25
192.8,193.43,191.0,192.36,95667,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-27
191.33,193.25,189.81,193.15,441225,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-11-30
196.01,198.78,194.77,195.14,560243,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-01
194.22,195.39,189.64,189.88,536897,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-02
189.94,191.76,189.05,190.26,279496,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-03
191.5,193.2,191.29,192.78,289274,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-04
192.72,192.78,190.18,190.92,196808,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-07
189.76,195.66,189.76,194.08,353756,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-08
194.26,195.18,192.18,194.46,314401,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-09
194.09,194.82,191.04,191.87,332794,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-10
191.02,193.44,190.17,192.93,307850,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-11
194.13,195.75,192.58,192.67,418421,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-14
193.88,197.68,193.88,196.4,457749,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-15
196.23,196.56,194.21,195.39,287513,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-16
195.73,198.71,195.73,197.88,273021,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-17
198.01,199.4,195.77,198.55,721671,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-18
195.97,198.5,192.64,198.33,374978,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-21
197.56,198.24,195.49,196.39,421223,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-22
196.35,197.7,194.31,194.81,269149,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-23
194.9,196.56,192.88,196.56,152883,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-24
197.5,198.88,195.54,195.91,134529,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-28
196.43,197.31,193.06,195.23,182591,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-29
196.21,197.3,195.73,196.63,213646,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-30
196.89,199.44,195.97,199.2,291959,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2020-12-31
198.84,199.19,193.91,195.31,343919,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2021-01-04
195.46,197.69,194.15,194.93,255657,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2021-01-05
197.61,203.21,196.57,202.18,520388,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2021-01-06
202.21,208.66,202.21,208.24,386892,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2021-01-07
207.75,208.95,204.16,206.92,253860,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2021-01-08
205.45,209.36,205.45,208.57,330134,0.0,0.0,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2021-01-11
