Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
47.85,47.86,46.25,46.72,54161291,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-10-26
45.98,46.41,45.36,45.64,50130518,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-10-27
44.89,45.28,44.2,44.25,44866011,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-10-28
44.24,44.47,43.92,44.11,36796801,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-10-29
44.1,44.8,43.61,44.28,46794171,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-10-30
44.96,45.06,44.24,44.46,32856742,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-02
44.73,45.46,44.7,44.85,33587541,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-03
45.11,46.15,44.78,45.7,34630153,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-04
46.15,46.38,45.52,45.68,31103209,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-05
45.54,45.8,44.9,45.39,36179425,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-06
46.64,47.35,45.54,45.6,48481729,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-09
45.4,46.48,45.25,45.44,39224462,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-10
45.9,46.46,45.86,46.35,31496938,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-11
46.13,46.19,44.55,44.95,42909915,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-12
44.99,45.58,44.97,45.46,30898107,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-13
46.04,46.75,45.79,46.19,36306293,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-16
45.75,46.12,45.4,45.53,30902061,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-17
45.55,45.68,45.04,45.06,32817918,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-18
44.92,45.67,44.7,45.62,29469084,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-19
45.66,45.88,45.33,45.39,24199278,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-20
45.48,46.21,45.45,46.06,35489638,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-23
46.29,47.3,46.01,47.01,33901172,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-24
47.03,47.18,46.57,47.05,28126887,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-25
47.36,48.1,47.36,47.45,15921420,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-27
47.42,48.5,47.26,48.35,46331671,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-11-30
48.75,50.22,48.71,49.56,57778192,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-01
49.22,50.06,49.18,49.9,33753518,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-02
49.92,51.11,49.78,50.99,50261151,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-03
51.06,52.65,51.0,51.98,38767719,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-04
51.0,51.29,49.56,50.2,51040300,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-07
49.83,50.72,49.81,50.69,28929057,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-08
50.28,50.84,49.73,50.07,34068390,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-09
49.66,50.72,49.59,50.26,33692006,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-10
50.14,50.14,49.12,49.73,29398840,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-11
49.82,51.34,49.74,50.47,33436404,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-14
50.98,51.01,50.21,50.66,25472993,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-15
50.71,51.46,50.68,51.12,28350677,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-16
51.15,51.32,50.22,50.65,26399017,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-17
50.57,50.68,47.11,47.46,118575110,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-18
46.32,46.45,45.24,46.36,53775701,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-21
46.25,46.34,45.76,46.17,32188769,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-22
46.16,47.03,46.07,46.57,22564228,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-23
46.6,47.09,46.34,47.07,11865642,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-24
47.19,47.64,46.86,47.07,21269166,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-28
47.22,50.67,46.49,49.39,84531388,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-29
49.11,49.19,48.56,48.75,37361409,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-30
48.75,50.19,48.72,49.82,28576790,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2020-12-31
49.89,51.39,49.4,49.67,46102459,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-04
49.44,50.83,49.33,50.61,24866563,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-05
50.44,52.15,50.2,51.1,36809644,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-06
51.49,52.69,51.3,52.19,32092336,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-07
52.45,52.53,51.27,51.65,33625379,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-08
51.29,52.24,51.25,51.54,32933279,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-11
51.9,53.85,51.56,53.24,39883888,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-12
59.5,60.25,56.9,56.95,124008471,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-13
58.45,60.14,57.84,59.25,74680892,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-14
58.85,59.65,57.5,57.58,50265363,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-15
57.94,58.34,57.1,57.99,35608569,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-19
58.24,59.22,58.09,58.67,28701263,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-20
59.04,63.95,58.22,62.46,87045714,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-21
58.85,59.62,56.65,56.66,85729115,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-22
56.38,56.5,54.06,55.44,61968347,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-25
55.28,56.2,54.85,55.21,31485880,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-26
54.61,54.85,53.3,53.59,49722945,0.0,0.0,INTC,Intel,Information Technology,Semiconductors,2021-01-27
