Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
330.91,332.1,323.44,328.09,927838,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-10-26
330.59,333.4,329.31,330.27,838744,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-10-27
323.47,325.1,317.96,318.51,948411,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-10-28
319.43,329.39,319.33,325.61,896800,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-10-29
321.91,325.17,312.05,314.68,1682866,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-10-30
317.76,321.87,312.17,316.42,1109863,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-02
319.91,326.94,317.83,324.73,1114858,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-03
339.72,347.91,334.11,343.0,1344677,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-04
350.92,352.01,346.21,350.96,1074337,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-05
351.48,353.85,344.8,352.26,623054,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-06
365.95,377.15,359.31,360.14,1820136,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-09
358.15,358.15,339.35,342.26,1544160,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-10
345.65,356.55,342.93,352.4,1127017,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-11
352.97,356.64,347.65,349.51,947726,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-12
351.84,358.32,350.43,356.95,1179472,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-13
356.54,361.22,353.33,357.06,1158831,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-16
354.98,360.0,353.43,358.75,953992,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-17
356.24,360.26,353.76,354.74,912410,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-18
353.2,363.39,349.05,361.44,1533627,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-19
358.85,359.99,347.51,347.69,2370232,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-20
348.07,350.32,337.72,343.33,1529577,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-23
345.0,347.73,342.52,345.2,1045463,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-24
345.72,352.47,345.01,350.47,1199344,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-25
353.93,358.04,351.83,354.24,528296,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-27
353.45,356.44,348.13,352.02,1875760,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-11-30
356.01,359.29,352.29,356.82,1088895,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-01
355.66,356.15,350.06,355.49,760700,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-02
355.19,366.68,353.47,363.7,1841131,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-03
365.15,371.94,364.07,368.6,1404403,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-04
367.82,373.98,367.28,372.19,1910082,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-07
372.4,380.5,370.52,372.59,1705237,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-08
368.91,370.14,361.11,364.18,2477788,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-09
361.23,364.4,357.45,362.5,1499216,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-10
362.12,364.65,358.0,364.32,1193790,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-11
364.44,369.3,363.61,365.51,1365982,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-14
365.82,367.76,360.15,360.43,1655060,0.0,0.0,INTU,Intuit,Information Technology,Application Software,2020-12-15
