Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
28.9,28.98,28.37,28.64,2287677,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-10-26
28.54,28.84,28.04,28.05,2917692,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-10-27
27.87,27.98,27.26,27.32,3806940,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-10-28
27.22,27.62,26.89,27.4,2941332,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-10-29
27.3,27.41,26.87,27.26,2888104,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-10-30
27.51,27.94,27.2,27.66,3080189,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-02
27.94,28.23,27.73,28.0,2679475,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-03
28.12,28.95,28.0,28.82,3585164,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-04
29.0,29.26,28.84,28.97,2897605,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-05
29.03,29.47,28.86,28.97,2761316,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-06
30.57,30.67,27.42,27.59,9631874,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-09
27.69,28.1,27.11,28.05,9727534,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-10
28.27,29.09,28.01,29.05,4704576,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-11
29.11,29.11,28.41,28.73,2894939,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-12
28.72,29.26,28.72,29.17,2928900,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-13
29.57,29.59,28.63,29.12,3633870,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-16
28.97,29.17,28.66,28.8,2247619,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-17
28.82,29.25,28.27,28.29,4170462,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-18
28.23,28.39,27.81,28.08,4344231,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-19
28.04,28.32,27.97,28.25,3236955,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-20
28.33,28.54,28.13,28.15,4226889,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-23
28.35,28.73,28.21,28.6,5351706,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-24
28.67,29.3,28.51,29.25,3992247,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-25
29.28,29.3,28.62,28.76,2001808,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-27
28.76,28.83,28.46,28.58,6826017,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-11-30
28.8,29.34,28.68,29.25,3680274,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-01
29.28,29.6,28.85,28.88,3021747,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-02
28.89,29.49,28.61,29.38,3490838,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-03
29.59,30.27,29.5,30.24,4146814,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-04
30.02,30.22,29.6,29.64,3107670,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-07
29.5,29.62,29.2,29.46,2341809,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-08
29.4,29.6,28.79,29.19,2556473,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-09
29.08,29.4,28.82,28.91,2996456,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-10
28.94,29.13,28.65,28.96,2471778,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-11
29.18,29.53,28.72,28.78,3602812,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-14
28.98,29.34,28.37,29.33,3893199,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-15
29.47,29.72,29.07,29.19,2472899,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-16
29.26,29.37,29.06,29.28,3331513,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-17
29.53,29.53,28.3,28.38,6164894,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-18
28.03,28.79,27.9,28.69,3226696,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-21
28.58,29.07,28.48,29.02,1988327,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-22
29.18,29.34,28.62,28.64,2065377,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-23
28.81,29.11,28.76,29.11,616768,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-24
29.21,29.38,29.02,29.34,1796716,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-28
29.48,29.71,28.96,29.11,1171196,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-29
29.1,29.53,29.03,29.53,1540075,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-30
29.53,29.72,29.25,29.7,2240741,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2020-12-31
29.75,29.89,28.53,28.58,3433367,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2021-01-04
28.69,29.18,28.51,29.03,4100630,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2021-01-05
28.97,29.21,28.69,29.1,4825997,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2021-01-06
29.12,29.22,28.65,28.94,3770975,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2021-01-07
29.0,29.46,28.89,29.33,2727567,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2021-01-08
29.17,29.35,28.9,29.05,2746874,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2021-01-11
29.1,29.19,28.72,28.73,4168613,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2021-01-12
28.7,29.06,28.6,28.63,3878829,0.0,0.0,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,2021-01-13
