Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
45.69,46.05,44.92,45.29,2508760,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-10-26
45.18,45.29,44.34,44.37,2726732,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-10-27
43.5,43.92,42.7,43.0,3604556,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-10-28
42.77,44.34,42.48,43.84,3032869,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-10-29
43.73,44.14,43.19,43.75,2586811,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-10-30
44.54,45.28,44.05,45.05,2728385,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-02
45.91,46.76,45.55,46.52,2942071,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-03
45.99,46.36,44.74,45.09,2206357,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-04
45.5,47.52,45.26,46.89,2781322,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-05
47.11,47.38,46.0,46.49,2043915,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-06
48.59,50.33,47.27,47.36,3862105,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-09
47.57,48.87,47.17,48.82,3040990,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-10
49.01,49.28,48.09,48.67,3316915,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-11
48.16,48.34,46.4,47.09,2799190,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-12
47.1,48.07,47.1,47.89,2436629,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-13
49.42,50.24,48.75,49.96,4074567,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-16
49.58,50.52,49.11,50.09,5674132,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-17
50.22,50.61,49.55,49.56,3060107,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-18
49.14,49.37,48.51,49.23,3504305,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-19
49.19,49.75,48.7,49.43,3427799,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-20
50.13,50.52,49.8,50.01,2810566,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-23
50.52,51.99,50.5,51.87,2955775,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-24
51.24,51.55,50.6,51.07,2310084,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-25
50.66,51.21,50.28,50.69,920007,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-27
50.52,50.62,49.33,49.48,3446765,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-11-30
50.23,50.6,49.51,49.85,2564166,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-01
49.68,50.31,49.49,49.86,1742975,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-02
49.77,49.95,47.89,48.24,4592311,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-03
48.76,49.06,48.06,48.87,4095947,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-04
48.91,48.91,47.95,48.67,3164523,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-07
48.38,49.11,48.28,49.09,2153310,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-08
49.0,49.77,49.0,49.54,2678324,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-09
49.01,49.47,48.46,48.64,2154838,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-10
48.37,48.89,48.06,48.63,1889515,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-11
49.33,49.41,48.0,48.01,2540449,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-14
48.5,49.15,48.39,49.15,2445431,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-15
49.41,49.65,49.15,49.31,2253084,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-16
49.45,49.79,48.9,49.75,2004580,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-17
49.75,50.12,49.31,49.98,5761464,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-18
49.13,49.53,48.33,49.48,3491873,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-21
49.74,49.98,49.31,49.4,2194354,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-22
49.73,49.96,49.3,49.55,2357986,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-23
49.74,49.8,49.2,49.76,439146,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-24
50.01,50.11,49.31,49.39,1447286,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-28
49.5,49.6,48.81,48.97,1052979,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-29
49.05,49.78,49.05,49.64,1205666,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-30
49.55,49.8,49.0,49.72,1368011,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2020-12-31
49.64,49.98,48.14,48.49,2680118,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2021-01-04
48.75,50.26,48.75,49.74,2244545,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2021-01-05
50.9,53.39,50.5,52.84,3571236,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2021-01-06
52.88,53.08,52.02,52.07,2653530,0.0,0.0,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,2021-01-07
