Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
13.81,13.84,13.52,13.79,7670554,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-10-26
14.15,14.43,13.74,13.97,7627179,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-10-27
13.64,13.85,13.26,13.33,6788075,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-10-28
13.31,13.51,13.02,13.4,6030150,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-10-29
13.38,13.48,12.74,13.11,6183596,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-10-30
13.22,13.6,13.1,13.48,4964473,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-02
13.75,14.06,13.64,13.98,3488874,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-03
13.58,14.24,13.35,13.75,5458618,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-04
13.98,14.52,13.9,14.43,5148975,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-05
14.39,14.48,13.78,13.88,4993121,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-06
15.13,15.36,14.77,14.84,7851770,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-09
14.77,15.03,14.5,14.53,7117000,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-10
14.77,15.47,14.69,15.28,7228603,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-11
15.05,15.39,14.75,14.96,6898980,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-12
15.08,15.64,15.08,15.53,3549005,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-13
15.97,16.23,15.73,15.99,4548561,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-16
15.73,16.3,15.69,16.3,5272599,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-17
16.3,16.65,16.0,16.01,5046328,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-18
15.92,15.98,15.64,15.96,2770938,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-19
15.84,15.94,15.63,15.72,7749028,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-20
16.02,16.46,15.96,16.33,3611410,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-23
16.62,17.16,16.51,17.13,4571938,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-24
16.92,17.06,16.73,17.03,2846967,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-25
16.95,17.1,16.8,17.01,1320622,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-27
16.9,16.93,16.19,16.23,7062765,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-11-30
16.66,16.93,16.41,16.46,4790292,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-01
16.41,16.82,16.36,16.76,4870532,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-02
17.07,17.83,17.05,17.8,10278183,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-03
17.82,18.05,17.63,17.79,6168746,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-04
17.51,18.18,17.28,18.02,6011173,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-07
17.81,18.17,17.58,18.07,6447341,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-08
18.17,18.2,17.39,17.7,7256628,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-09
17.5,17.76,17.32,17.51,6215299,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-10
17.23,17.91,16.98,17.86,12343040,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-11
18.13,18.13,17.04,17.1,5698765,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-14
17.33,17.66,17.11,17.59,6007704,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-15
17.69,17.7,17.38,17.45,5854950,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-16
17.55,17.58,17.32,17.48,6205008,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-17
17.38,17.57,17.24,17.45,13095555,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-18
17.34,17.52,17.13,17.42,5403970,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-21
17.5,17.55,16.95,16.98,6318421,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-22
17.11,17.66,17.11,17.55,3726656,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-23
17.62,17.62,17.38,17.61,849519,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-24
17.7,17.75,17.2,17.2,4125918,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-28
17.31,17.34,16.82,17.01,3336725,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-29
17.03,17.4,17.03,17.34,2570928,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-30
17.32,17.46,17.11,17.43,1850364,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2020-12-31
17.54,17.66,16.92,16.95,4997371,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2021-01-04
17.03,17.56,16.95,17.46,5592613,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2021-01-05
17.86,18.6,17.85,18.41,5241978,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2021-01-06
18.65,18.74,18.31,18.33,3403583,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2021-01-07
18.7,18.7,18.27,18.65,3664539,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2021-01-08
18.5,19.08,18.39,18.94,4091576,0.0,0.0,IVZ,Invesco,Financials,Asset Management & Custody Banks,2021-01-11
