Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
156.96,156.96,152.47,154.12,334097,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-10-26
154.75,155.7,151.18,151.22,338973,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-10-27
150.08,151.28,148.04,149.57,584134,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-10-28
149.38,150.98,148.15,149.33,496415,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-10-29
148.29,150.26,146.69,148.25,453154,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-10-30
150.62,152.54,149.3,151.77,500582,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-02
153.28,157.18,153.28,156.15,410455,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-03
158.13,163.48,157.66,162.42,674538,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-04
168.12,168.12,152.31,153.66,1137359,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-05
156.2,159.63,154.52,157.16,555094,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-06
161.97,165.93,158.72,158.83,704055,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-09
158.84,160.73,157.72,160.52,783272,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-10
161.21,162.8,159.63,161.08,426034,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-11
161.05,161.99,158.6,159.85,305208,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-12
161.08,162.49,158.82,161.48,328398,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-13
163.2,163.75,157.75,159.03,458557,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-16
159.16,159.99,157.46,158.85,521370,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-17
159.48,160.47,156.95,158.71,424646,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-18
158.75,163.0,155.74,161.52,493414,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-19
161.75,162.28,160.06,160.17,402436,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-20
160.1,161.58,159.47,159.99,327344,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-23
160.55,161.05,157.04,157.13,734252,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-24
158.28,159.32,156.52,157.87,572417,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-25
158.62,158.99,156.36,157.8,270910,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-27
158.36,162.06,156.89,160.86,1348849,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-11-30
161.29,162.88,160.14,161.34,766039,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-12-01
161.48,162.84,159.22,159.98,361002,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-12-02
159.22,160.14,156.56,158.01,500241,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-12-03
158.88,160.43,157.88,158.48,481359,0.0,0.0,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2020-12-04
