Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
102.65,102.7,100.25,101.24,12605409,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-10-26
100.51,100.92,99.16,99.33,10521877,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-10-27
97.5,98.3,96.07,96.54,16658093,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-10-28
96.12,97.98,95.24,97.17,14423300,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-10-29
97.91,98.42,96.23,98.04,15411439,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-10-30
99.39,100.88,97.86,100.25,15245666,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-02
103.02,104.74,102.69,103.41,17813814,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-03
101.0,102.07,98.93,100.25,19151576,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-04
101.06,105.1,101.0,104.35,18032091,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-05
105.03,105.1,102.39,102.96,12701518,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-06
113.16,118.9,110.35,116.9,48585297,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-09
117.35,117.45,114.69,116.52,21199101,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-10
116.89,116.96,113.96,114.78,14644526,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-11
112.53,113.96,112.06,113.37,22358262,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-12
114.7,114.86,113.57,114.08,12010839,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-13
117.79,118.61,115.73,117.3,20328959,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-16
115.39,116.44,114.58,116.11,14805743,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-17
117.34,118.61,115.2,115.25,12895304,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-18
114.18,115.82,113.56,115.56,10446022,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-19
114.43,115.65,114.09,114.57,13292376,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-20
116.05,118.17,115.57,117.87,13453446,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-23
120.07,123.5,119.71,123.32,20683053,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-24
121.37,122.38,120.46,122.03,11985077,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-25
122.0,122.35,121.08,121.22,5983627,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-27
120.0,120.72,117.77,117.88,14614180,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-11-30
120.34,121.58,119.63,119.74,12856191,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-01
119.7,122.31,119.27,122.04,10960550,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-02
121.85,121.88,120.36,121.24,13074039,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-03
122.48,123.29,121.69,122.34,13735164,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-04
121.15,122.17,120.21,121.88,9882044,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-07
121.04,122.33,120.76,122.0,9742029,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-08
123.17,123.3,120.44,121.05,13266988,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-09
119.99,120.78,119.56,120.27,13795589,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-10
118.94,120.02,118.37,119.56,10130096,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-11
121.34,121.42,118.1,118.3,12272124,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-14
119.29,120.9,118.62,120.32,12734064,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-15
120.3,121.08,119.86,120.67,11296893,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-16
121.26,121.45,119.58,119.67,11797262,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-17
119.14,119.88,118.27,119.08,31312575,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-18
123.17,125.0,121.09,123.55,28761384,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-21
123.39,123.52,121.61,121.67,11936991,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-22
122.78,126.52,122.35,125.07,15140285,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-23
125.09,125.55,123.57,124.52,4164948,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-24
125.82,126.65,124.79,125.34,8223546,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-28
126.2,126.28,124.89,125.01,8541080,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-29
125.49,125.84,124.9,125.36,7517423,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-30
125.09,127.33,124.82,127.07,8646034,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2020-12-31
127.5,127.86,124.78,125.87,17084058,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-04
124.99,126.3,123.77,125.65,13928415,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-05
129.88,132.77,127.88,131.55,25257110,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-06
135.69,138.19,134.92,135.87,22332543,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-07
135.97,136.35,134.12,136.02,12251182,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-08
134.58,138.2,134.11,138.05,16167319,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-11
139.44,141.66,138.83,140.22,18201284,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-12
138.59,140.79,138.1,140.35,15136004,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-13
140.49,142.75,140.0,141.17,18946447,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-14
137.43,141.65,137.01,138.64,29183214,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-15
139.86,140.7,137.82,138.04,20404646,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-19
137.82,138.17,135.44,135.97,16240346,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-20
135.69,136.16,134.32,134.83,13639902,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-21
132.69,134.4,132.2,133.79,13220423,0.0,0.0,JPM,JPMorgan Chase,Financials,Diversified Banks,2021-01-22
