Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
13.09,13.23,12.86,13.0,8691237,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-10-26
12.91,12.97,12.62,12.63,5744781,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-10-27
12.35,12.62,12.12,12.4,7303595,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-10-28
12.32,12.86,12.19,12.75,7213154,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-10-29
12.66,12.99,12.54,12.98,6710932,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-10-30
13.13,13.52,12.87,13.43,9937423,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-02
13.75,13.94,13.64,13.77,6983898,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-03
13.34,13.34,12.54,12.54,11350166,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-04
12.62,13.3,12.61,13.16,8939644,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-05
13.34,13.56,12.82,12.82,21215315,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-06
14.23,15.4,14.22,15.2,16976037,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-09
15.36,15.59,14.95,15.55,13186500,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-10
15.58,15.61,14.89,15.02,9039438,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-11
14.78,14.81,14.26,14.48,7378268,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-12
14.68,14.94,14.61,14.87,6457896,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-13
15.6,15.84,15.42,15.8,9368571,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-16
15.45,15.79,15.18,15.67,6417193,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-17
15.78,16.02,15.5,15.51,5963995,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-18
15.33,15.65,15.16,15.62,4871214,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-19
15.5,15.52,15.18,15.33,5663873,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-20
15.64,15.9,15.49,15.66,6802803,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-23
16.13,16.76,16.09,16.75,8110555,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-24
16.45,16.56,16.23,16.51,5553781,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-25
16.43,16.59,16.14,16.33,4249608,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-27
16.02,16.18,15.38,15.46,12967335,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-11-30
15.9,16.12,15.8,15.84,9968056,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-01
15.73,16.16,15.63,15.95,14112153,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-02
16.01,16.1,15.78,15.96,12624275,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-03
16.12,16.31,15.96,16.12,12168335,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-04
15.97,15.98,15.64,15.87,9594371,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-07
15.75,16.06,15.66,15.96,12283902,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-08
16.2,16.38,15.94,16.05,9455451,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-09
15.98,16.16,15.73,16.08,9957446,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-10
15.82,15.99,15.66,15.84,5783291,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-11
16.13,16.13,15.38,15.43,7260789,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-14
15.62,15.7,15.32,15.69,22562377,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-15
15.77,15.77,15.52,15.76,9042729,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-16
15.74,15.77,15.38,15.58,6764747,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-17
15.63,15.66,15.25,15.42,17783076,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-18
15.62,15.92,15.29,15.75,10990090,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-21
15.8,15.93,15.74,15.74,8145851,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-22
15.95,16.42,15.92,16.33,5973652,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-23
16.38,16.4,15.96,16.19,2250883,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-24
16.34,16.52,16.18,16.25,4276043,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-28
16.28,16.31,15.95,15.97,4732938,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-29
16.01,16.32,15.98,16.25,5727578,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-30
16.23,16.44,16.1,16.41,4175774,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2020-12-31
16.58,16.58,16.03,16.29,8643682,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2021-01-04
16.31,16.76,16.19,16.55,5959195,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2021-01-05
17.26,18.31,17.1,18.16,16403067,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2021-01-06
18.49,18.81,18.45,18.49,8291332,0.0,0.0,KEY,KeyCorp,Financials,Regional Banks,2021-01-07
