Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
31.01,31.19,30.4,30.58,5488945,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-10-26
30.68,30.92,30.52,30.68,5880190,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-10-27
30.25,30.35,29.21,29.22,7781095,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-10-28
29.7,30.45,29.42,30.04,7875644,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-10-29
30.07,30.69,29.96,30.59,10479590,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-10-30
31.04,31.94,30.86,31.67,7165113,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-02
31.86,32.5,31.7,31.78,5427258,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-03
32.07,32.49,31.77,31.82,6169622,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-04
31.86,32.36,31.47,31.7,7920642,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-05
31.87,31.99,31.44,31.54,4069290,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-06
32.39,32.58,30.56,30.62,10642146,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-09
30.04,30.55,29.54,30.48,13382408,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-10
30.68,31.38,30.42,31.35,7814469,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-11
31.24,31.39,30.69,31.1,5847433,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-12
31.27,31.62,31.05,31.61,4166567,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-13
31.61,32.27,31.42,32.15,7456281,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-16
31.83,31.85,31.32,31.59,5109165,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-17
31.7,32.42,31.54,31.63,7285163,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-18
31.56,31.95,31.4,31.88,6150452,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-19
31.8,32.33,31.75,32.26,9019886,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-20
32.37,32.88,32.19,32.6,7283409,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-23
32.92,33.86,32.72,33.83,8622115,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-24
33.21,33.25,32.5,32.54,6040435,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-25
32.76,33.04,32.62,32.84,2220657,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-27
32.62,32.97,32.47,32.94,5826074,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-11-30
32.97,33.22,32.77,33.14,4625707,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-12-01
33.06,33.32,32.75,32.78,4770391,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-12-02
32.84,33.59,32.8,33.45,4868997,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-12-03
33.76,34.15,33.64,34.12,6146870,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-12-04
34.0,34.01,33.45,33.6,5240848,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-12-07
33.63,34.45,33.49,34.34,6753561,0.0,0.0,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2020-12-08
