Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
12.67,12.68,12.19,12.38,16319004,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-10-26
12.35,12.37,12.16,12.17,14649486,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-10-27
11.98,12.12,11.81,11.83,20246212,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-10-28
11.78,12.09,11.5,12.06,20034784,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-10-29
11.75,11.9,11.61,11.9,17210790,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-10-30
12.03,12.07,11.78,11.89,13534843,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-02
12.04,12.14,11.93,11.99,12326680,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-03
12.11,12.27,11.78,11.83,14533452,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-04
11.83,12.19,11.83,11.9,13809047,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-05
11.91,12.08,11.45,11.48,14366482,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-06
12.34,12.71,12.09,12.3,31935483,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-09
12.47,12.89,12.27,12.89,21434993,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-10
13.07,13.08,12.86,13.03,22692042,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-11
12.9,13.08,12.58,12.71,20369474,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-12
12.86,13.22,12.78,13.13,13686835,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-13
13.74,13.82,13.39,13.67,23298020,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-16
13.45,14.05,13.42,14.03,19419482,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-17
14.02,14.22,13.76,13.76,20474696,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-18
13.7,14.4,13.61,14.4,27643495,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-19
14.4,14.42,14.17,14.25,20769920,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-20
14.4,14.67,14.3,14.62,20321116,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-23
14.99,15.12,14.87,14.97,17642616,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-24
14.9,15.05,14.65,14.85,13334270,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-25
14.72,14.86,14.65,14.75,6336190,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-27
14.53,14.68,14.3,14.38,36597913,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-11-30
14.67,14.68,14.03,14.1,20231264,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-01
14.06,14.55,14.0,14.34,22490822,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-02
14.44,14.66,14.3,14.49,17830669,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-03
14.68,15.1,14.67,14.93,17601530,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-04
14.9,14.98,14.57,14.8,16993321,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-07
14.69,15.0,14.65,14.76,19096833,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-08
14.82,14.94,14.42,14.61,24044491,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-09
14.65,14.88,14.6,14.79,24207733,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-10
14.65,14.75,14.52,14.75,13824901,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-11
14.86,14.97,14.19,14.31,26483888,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-14
14.42,14.94,14.35,14.77,21372744,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-15
14.75,14.76,14.51,14.6,18948272,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-16
14.58,14.66,14.27,14.3,19654681,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-17
14.33,14.42,14.1,14.21,35544352,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-18
13.98,14.12,13.79,13.99,20700980,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-21
13.98,14.0,13.78,13.78,15059625,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-22
13.94,14.08,13.82,13.83,16193692,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-23
13.83,13.86,13.69,13.83,5520137,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-24
13.87,14.0,13.6,13.64,14201668,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-28
13.74,13.75,13.47,13.57,14990819,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-29
13.56,13.8,13.53,13.57,11786912,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-30
13.53,13.72,13.47,13.67,15183560,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2020-12-31
13.75,13.86,13.48,13.56,17385315,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-04
13.68,14.13,13.65,13.9,18842843,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-05
14.1,14.47,14.02,14.36,22446709,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-06
14.43,14.66,14.28,14.6,17494530,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-07
14.6,14.68,14.3,14.49,18904496,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-08
14.21,14.88,14.19,14.74,25173288,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-11
14.63,15.23,14.62,15.21,24542597,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-12
15.23,15.44,15.11,15.31,18196436,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-13
15.4,15.75,15.35,15.64,18291387,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-14
15.52,15.61,15.17,15.49,16960369,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-15
15.6,15.77,15.46,15.55,17542212,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-19
15.57,15.66,15.41,15.59,14438486,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-20
16.0,16.02,15.05,15.26,19089937,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-21
15.03,15.37,14.82,15.32,18274023,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-22
15.25,15.54,15.02,15.26,16876155,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-25
15.37,15.57,15.1,15.22,16166310,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-26
15.1,15.25,14.78,14.82,24999897,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-27
14.93,15.0,14.56,14.69,24709675,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-28
14.32,14.5,14.01,14.08,26643351,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-01-29
14.17,14.22,13.9,14.02,20807976,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-01
14.33,14.34,13.75,13.81,31405336,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-02
13.84,14.3,13.84,14.24,19595537,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-03
14.3,14.39,14.01,14.03,20130786,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-04
14.25,14.25,14.08,14.15,18599638,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-05
14.26,14.8,14.22,14.73,16944650,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-08
14.73,14.75,14.44,14.57,10185570,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-09
14.64,14.8,14.51,14.79,12850424,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-10
14.75,14.8,14.45,14.69,11618666,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-11
14.6,14.88,14.56,14.84,13242876,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-12
15.07,15.2,14.94,15.04,17957093,0.0,0.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2021-02-16
