Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
90.14,90.35,87.27,88.79,1323464,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-10-26
89.14,89.43,87.25,87.44,1284568,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-10-27
85.03,88.46,84.7,87.88,1430402,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-10-28
87.53,88.74,86.47,88.21,1392098,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-10-29
87.41,88.44,85.79,86.44,1330410,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-10-30
87.2,89.16,87.11,89.08,1182247,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-02
90.13,93.96,90.13,93.12,1164651,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-03
91.85,94.19,91.54,91.55,1069037,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-04
92.92,94.27,92.44,93.32,723780,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-05
93.63,93.76,92.11,92.75,688017,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-06
96.7,101.16,95.84,95.97,1509595,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-09
96.21,96.65,92.94,94.31,1375930,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-10
94.39,94.92,92.7,93.42,1181079,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-11
92.88,93.96,91.66,93.1,1092756,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-12
93.87,95.71,93.78,95.48,930479,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-13
97.28,98.23,95.09,97.59,897509,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-16
96.79,96.79,94.31,94.73,1220316,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-17
94.53,95.55,92.72,92.82,1402297,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-18
92.68,94.55,92.06,94.53,968561,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-19
94.46,95.37,93.76,94.55,1197365,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-20
95.5,97.2,94.88,96.44,1256028,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-23
97.36,97.82,95.82,96.04,1090971,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-24
95.2,95.76,93.94,95.29,844421,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-25
95.54,96.87,94.88,95.37,394103,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-27
94.91,95.95,92.65,93.48,993718,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-11-30
94.43,96.31,93.57,96.14,1308878,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-01
95.47,96.69,93.3,96.47,1422995,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-02
96.27,97.34,95.65,96.27,888426,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-03
96.62,97.08,95.65,96.5,1018767,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-04
96.43,97.3,95.58,96.06,1122449,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-07
95.18,95.77,93.9,94.38,1229561,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-08
92.87,95.09,92.16,94.87,1551377,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-09
94.24,95.22,93.55,94.34,746222,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-10
93.9,94.95,93.39,93.93,814556,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-11
94.94,95.41,92.3,92.54,1466403,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-14
93.88,96.38,93.81,96.13,1081723,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-15
96.54,99.55,96.16,99.08,1574626,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-16
98.72,99.9,97.01,99.79,1563364,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-17
99.37,100.44,97.94,98.25,4108596,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-18
97.52,100.68,97.21,100.46,2917934,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-21
96.62,98.83,91.83,92.33,9202946,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-22
92.94,94.01,92.0,93.18,2563083,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-23
93.28,93.47,91.25,92.3,1042258,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-24
92.84,92.84,90.88,91.0,1356597,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-28
91.01,92.45,90.3,92.24,1243510,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-29
91.79,94.85,91.75,94.62,1324671,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-30
94.18,95.0,92.89,94.46,1182569,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2020-12-31
94.3,94.37,92.13,93.3,1677943,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-04
93.24,94.31,92.36,94.2,1541694,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-05
94.05,98.34,94.05,97.96,1725426,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-06
98.62,100.61,97.43,100.3,1830675,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-07
100.33,103.15,100.33,102.1,1623291,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-08
101.04,104.71,100.88,104.64,1066663,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-11
104.26,106.64,103.86,106.5,1336926,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-12
106.66,108.22,105.44,105.49,1308176,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-13
105.93,107.23,105.23,106.35,983849,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-14
105.38,107.0,104.86,106.44,1095608,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-15
108.97,116.7,107.3,116.43,2806408,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-19
117.06,124.91,116.77,122.79,4037889,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-20
122.93,123.7,119.86,120.29,1973186,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-21
119.78,120.48,117.7,118.64,1360781,0.0,0.0,KMX,CarMax,Consumer Discretionary,Automotive Retail,2021-01-22
