Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
32.7,33.16,32.67,33.16,7838265,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-10-26
32.66,33.11,32.28,32.34,8808875,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-10-27
32.2,32.75,32.03,32.16,11738835,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-10-28
32.07,32.6,31.62,32.26,7412983,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-10-29
32.15,32.53,32.06,32.21,8530128,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-10-30
32.49,32.53,31.74,32.06,7553028,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-02
32.08,32.84,32.08,32.74,6517009,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-03
32.63,32.74,32.03,32.09,9400350,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-04
32.28,32.87,32.06,32.72,7289221,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-05
32.77,33.35,32.69,33.17,7541660,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-06
31.98,32.07,30.47,31.01,20861834,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-09
31.0,31.96,30.92,31.92,10364795,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-10
32.0,32.48,31.68,32.09,9334500,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-11
32.22,32.22,31.57,32.03,9119314,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-12
32.03,32.21,31.82,32.14,6674158,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-13
31.94,32.66,31.61,32.3,10620880,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-16
32.14,32.27,31.54,31.9,11312248,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-17
32.1,32.47,31.96,32.04,7318497,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-18
32.19,32.96,32.18,32.76,9188945,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-19
32.77,33.06,32.34,32.44,7963229,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-20
32.31,33.24,32.28,33.03,12787623,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-23
33.18,33.28,32.65,32.69,11440837,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-24
32.58,32.69,32.15,32.32,8749022,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-25
32.51,32.8,32.39,32.43,5265774,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-27
32.7,33.17,32.54,33.0,34240827,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-11-30
32.82,33.35,32.66,33.01,10936491,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-01
32.9,33.12,32.07,32.29,18495717,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-02
30.89,31.2,30.35,30.88,33618696,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-03
30.82,30.91,30.43,30.58,18344784,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-04
30.59,31.19,30.52,30.95,18638509,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-07
30.89,31.3,30.88,31.3,12563056,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-08
31.34,31.57,31.0,31.21,13119669,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-09
31.15,31.32,30.95,31.21,9111017,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-10
31.25,31.54,31.14,31.34,10689339,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-11
31.32,31.59,31.24,31.3,10419543,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-14
31.38,31.42,31.1,31.19,9119421,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-15
31.17,31.32,30.82,30.97,12742722,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-16
31.02,31.08,30.84,31.0,11242852,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-17
30.96,31.08,30.71,30.87,14007948,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-18
30.65,30.8,30.35,30.8,12437180,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-21
30.75,30.92,30.64,30.89,14070017,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-22
30.88,31.6,30.88,31.39,9575984,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-23
31.29,31.62,31.26,31.53,2918990,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-24
31.6,31.68,31.26,31.39,7076004,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-28
31.33,31.63,31.31,31.46,6529773,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-29
31.53,31.76,31.5,31.55,6759586,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-30
31.59,31.83,31.38,31.76,7124777,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2020-12-31
31.77,32.26,31.7,32.13,11392074,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-04
32.01,32.28,31.73,31.9,9071734,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-05
32.04,32.7,32.0,32.21,11952850,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-06
31.75,32.41,31.7,31.82,9652661,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-07
31.87,31.92,31.43,31.63,9247448,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-08
31.59,32.03,31.59,31.76,8966839,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-11
32.02,32.35,31.5,31.52,10707756,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-12
31.58,32.12,31.44,31.99,8744225,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-13
32.07,33.44,31.92,33.14,20727414,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-14
33.15,34.22,32.86,33.7,15098148,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-15
33.7,33.73,33.05,33.62,9772841,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-19
32.94,33.17,32.53,33.07,11054017,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-20
33.01,33.45,32.89,33.21,8678806,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-21
33.39,33.72,32.77,33.56,9540675,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-22
33.5,37.03,33.35,34.57,32651222,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-25
34.51,37.16,34.42,37.07,25077313,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-26
37.07,42.99,37.02,38.75,40480708,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-27
37.68,39.43,34.76,35.38,28742644,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-28
35.66,36.58,34.45,34.5,17307331,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-01-29
34.51,34.94,33.28,33.7,13184666,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-02-01
33.59,33.6,32.84,33.1,11239153,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-02-02
33.36,33.99,32.86,33.96,10249456,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-02-03
33.96,34.17,33.41,33.45,8532613,0.0,0.0,KR,Kroger,Consumer Staples,Food Retail,2021-02-04
